Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2024,3,1,     0.0,     0.0,     0.0,     0.0,    28.9,    31.4,    27.4,    12.5,    41.5
East Coast Parkway,2024,3,2,     3.0,     1.4,     1.4,     1.6,    28.4,    31.5,    26.6,    11.0,    46.1
East Coast Parkway,2024,3,3,    11.4,     5.4,     5.4,     5.4,    27.6,    29.6,    25.1,    10.9,    40.0
East Coast Parkway,2024,3,4,    26.4,    17.0,    18.4,    26.2,    28.4,    31.1,    24.2,    10.1,    51.1
East Coast Parkway,2024,3,5,    28.6,    16.2,    30.6,    41.0,    26.9,    30.3,    24.3,     7.6,    27.4
East Coast Parkway,2024,3,6,     0.0,     0.0,     0.0,     0.0,    28.0,    31.5,    25.9,     6.1,    26.3
East Coast Parkway,2024,3,7,    14.0,     9.0,    11.2,    13.8,    28.3,    32.0,    24.5,     7.4,    31.3
East Coast Parkway,2024,3,8,    23.4,    16.6,    21.4,    22.6,    27.3,    31.0,    24.1,     5.7,    32.4
East Coast Parkway,2024,3,9,     0.0,     0.0,     0.0,     0.0,    28.6,    31.7,    26.6,     7.9,    30.6
East Coast Parkway,2024,3,10,     0.0,     0.0,     0.0,     0.0,    28.4,    30.8,    26.8,    11.4,    46.1
East Coast Parkway,2024,3,11,     0.0,     0.0,     0.0,     0.0,    28.9,    31.8,    26.8,    11.4,    42.8
East Coast Parkway,2024,3,12,     0.0,     0.0,     0.0,     0.0,    29.0,    32.0,    27.7,    12.5,    47.6
East Coast Parkway,2024,3,13,     0.0,     0.0,     0.0,     0.0,    28.8,    32.3,    26.2,    13.1,    46.9
East Coast Parkway,2024,3,14,     0.0,     0.0,     0.0,     0.0,    28.8,    32.4,    26.5,    12.4,    47.8
East Coast Parkway,2024,3,15,     0.0,     0.0,     0.0,     0.0,    28.6,    31.2,    26.6,    10.9,    39.3
East Coast Parkway,2024,3,16,     0.0,     0.0,     0.0,     0.0,    29.0,    32.7,    26.6,    11.4,    41.9
East Coast Parkway,2024,3,17,     0.0,     0.0,     0.0,     0.0,    29.2,    32.6,    26.9,    14.3,    55.0
East Coast Parkway,2024,3,18,     0.0,     0.0,     0.0,     0.0,    29.4,    32.8,    26.8,    12.0,    35.9
East Coast Parkway,2024,3,19,     0.0,     0.0,     0.0,     0.0,    29.2,    32.5,    27.6,    13.1,    40.0
East Coast Parkway,2024,3,20,     0.0,     0.0,     0.0,     0.0,    29.0,    31.3,    27.4,    14.4,    52.6
East Coast Parkway,2024,3,21,     0.0,     0.0,     0.0,     0.0,    28.9,    31.8,    27.6,    12.3,    47.6
East Coast Parkway,2024,3,22,     0.0,     0.0,     0.0,     0.0,    29.1,    32.2,    27.3,    11.3,    37.4
East Coast Parkway,2024,3,23,     0.0,     0.0,     0.0,     0.0,    29.2,    32.9,    27.1,     9.3,    31.3
East Coast Parkway,2024,3,24,     0.0,     0.0,     0.0,     0.0,    28.9,    31.8,    27.1,    11.7,    33.9
East Coast Parkway,2024,3,25,     0.0,     0.0,     0.0,     0.0,    29.5,    33.1,    27.2,    10.0,    38.5
East Coast Parkway,2024,3,26,     0.0,     0.0,     0.0,     0.0,    29.8,    33.2,    27.9,    11.4,    35.2
East Coast Parkway,2024,3,27,     0.0,     0.0,     0.0,     0.0,    29.6,    32.8,    27.7,    10.8,    32.0
East Coast Parkway,2024,3,28,     0.0,     0.0,     0.0,     0.0,    29.2,    30.8,    27.9,    12.7,    33.2
East Coast Parkway,2024,3,29,     7.4,     6.4,     6.6,     7.0,    29.6,    32.6,    23.8,    11.2,    63.7
East Coast Parkway,2024,3,30,     0.0,     0.0,     0.0,     0.0,    29.4,    30.9,    28.2,    10.8,    35.6
East Coast Parkway,2024,3,31,     0.0,     0.0,     0.0,     0.0,    29.6,    31.3,    28.1,     7.9,    23.3
