Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2024,6,1,    22.6,    11.8,    12.0,    12.0,    27.8,    30.1,    24.7,    13.8,    34.6
East Coast Parkway,2024,6,2,    10.4,     7.8,     9.2,    10.0,-,-,-,-,-
East Coast Parkway,2024,6,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
East Coast Parkway,2024,6,4,     0.0,     0.0,     0.0,     0.0,    29.5,    31.6,    27.7,     8.7,    23.7
East Coast Parkway,2024,6,5,     0.0,     0.0,     0.0,     0.0,    30.1,    31.4,    29.1,    11.3,    25.6
East Coast Parkway,2024,6,6,     6.2,     6.0,     6.2,     6.2,    29.1,    31.2,    25.6,    10.2,    32.0
East Coast Parkway,2024,6,7,     0.0,     0.0,     0.0,     0.0,    29.1,    30.4,    27.4,     7.5,    24.8
East Coast Parkway,2024,6,8,     0.0,     0.0,     0.0,     0.0,    29.3,    30.4,    28.3,     9.4,    25.6
East Coast Parkway,2024,6,9,     0.2,     0.2,     0.2,     0.2,    29.7,    30.8,    27.3,    12.2,    30.2
East Coast Parkway,2024,6,10,     0.0,     0.0,     0.0,     0.0,    29.6,    30.4,    28.0,    10.8,    34.3
East Coast Parkway,2024,6,11,     0.8,     0.8,     0.8,     0.8,    29.5,    31.7,    26.6,     6.9,    36.7
East Coast Parkway,2024,6,12,     0.0,     0.0,     0.0,     0.0,    29.3,    30.6,    28.0,     7.6,    31.3
East Coast Parkway,2024,6,13,     0.8,     0.4,     0.6,     0.8,    29.9,    31.7,    27.8,     7.5,    24.1
East Coast Parkway,2024,6,14,     4.4,     3.4,     4.2,     4.2,    29.3,    31.3,    25.8,     9.0,    35.6
East Coast Parkway,2024,6,15,     6.0,     6.0,     6.0,     6.0,    29.4,    30.6,    25.4,    10.2,    34.3
East Coast Parkway,2024,6,16,    37.4,    21.4,    23.4,    23.4,    28.3,    30.9,    23.6,     9.6,    35.2
East Coast Parkway,2024,6,17,     0.0,     0.0,     0.0,     0.0,    29.2,    31.2,    27.5,    15.6,    57.6
East Coast Parkway,2024,6,18,    12.2,    11.2,    12.2,    12.2,    29.0,    30.4,    24.8,     8.5,    40.0
East Coast Parkway,2024,6,19,     9.4,     4.8,     4.8,     4.8,    29.0,    30.3,    26.3,    13.1,    45.0
East Coast Parkway,2024,6,20,     0.0,     0.0,     0.0,     0.0,    29.0,    30.8,    26.7,    11.5,    38.5
East Coast Parkway,2024,6,21,    77.0,    24.0,    30.4,    55.0,    27.9,    29.7,    22.7,    18.3,    51.1
East Coast Parkway,2024,6,22,    22.0,     8.4,    13.2,    16.8,    27.2,    29.2,    23.6,    19.7,    60.7
East Coast Parkway,2024,6,23,     0.0,     0.0,     0.0,     0.0,    29.1,    31.0,    26.7,    13.6,    32.0
East Coast Parkway,2024,6,24,     0.4,     0.2,     0.2,     0.2,    29.8,    31.5,    27.6,    14.2,    46.5
East Coast Parkway,2024,6,25,     0.0,     0.0,     0.0,     0.0,    29.8,    30.6,    28.8,    13.0,    34.3
East Coast Parkway,2024,6,26,     0.0,     0.0,     0.0,     0.0,    29.9,    31.1,    29.1,    13.5,    28.9
East Coast Parkway,2024,6,27,     0.0,     0.0,     0.0,     0.0,    28.8,    29.8,    27.8,     8.1,    23.7
East Coast Parkway,2024,6,28,     0.0,     0.0,     0.0,     0.0,    28.9,    31.2,    26.9,     6.6,    32.8
East Coast Parkway,2024,6,29,     5.2,     5.0,     5.0,     5.0,    29.1,    30.4,    25.3,     9.1,    36.3
East Coast Parkway,2024,6,30,    18.8,     8.0,    10.2,    17.2,    27.5,    29.6,    23.8,    12.0,    51.5
