Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2024,1,1,    36.0,    13.8,    18.0,    27.8,    26.1,    28.5,    24.5,     8.8,    43.9
East Coast Parkway,2024,1,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
East Coast Parkway,2024,1,3,     2.8,     2.6,     2.8,     2.8,    27.6,    30.9,    25.8,     8.2,    35.9
East Coast Parkway,2024,1,4,    56.8,    12.8,    15.8,    24.0,    25.3,    27.4,    24.0,     9.0,    28.2
East Coast Parkway,2024,1,5,     3.6,     3.0,     3.0,     3.0,-,-,-,-,-
East Coast Parkway,2024,1,6,     1.4,     1.4,     1.4,     1.4,    27.9,    30.6,    25.8,     8.2,    34.6
East Coast Parkway,2024,1,7,    50.2,     9.2,    13.6,    21.8,    25.1,    27.7,    23.9,     7.3,    33.5
East Coast Parkway,2024,1,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
East Coast Parkway,2024,1,9,     1.0,     1.0,     1.0,     1.0,    27.2,    30.0,    25.2,     8.8,    33.5
East Coast Parkway,2024,1,10,    48.6,    14.8,    20.0,    38.2,    26.6,    28.9,    24.5,     9.0,    46.5
East Coast Parkway,2024,1,11,     0.0,     0.0,     0.0,     0.0,    27.7,    29.6,    26.1,    10.6,    45.7
East Coast Parkway,2024,1,12,    16.0,     6.4,     7.0,     7.6,    25.8,    27.2,    23.9,     8.5,    38.9
East Coast Parkway,2024,1,13,     0.0,     0.0,     0.0,     0.0,    27.3,    30.6,    25.0,     8.0,    42.8
East Coast Parkway,2024,1,14,     0.2,     0.2,     0.2,     0.2,    27.8,    30.4,    26.3,    10.3,    40.4
East Coast Parkway,2024,1,15,     0.0,     0.0,     0.0,     0.0,    28.1,    30.8,    26.3,    12.5,    47.8
East Coast Parkway,2024,1,16,    19.8,     9.4,    13.2,    18.2,    27.0,    29.9,    23.8,    10.0,    45.0
East Coast Parkway,2024,1,17,     2.6,     1.2,     1.4,     1.4,    27.7,    30.5,    25.4,    13.4,    45.4
East Coast Parkway,2024,1,18,     7.0,     6.2,     7.0,     7.0,    27.4,    29.7,    25.1,     9.7,    48.2
East Coast Parkway,2024,1,19,    16.6,     7.4,     9.0,    12.4,    26.6,    30.4,    24.2,     6.6,    39.6
East Coast Parkway,2024,1,20,    15.4,     2.8,     4.4,     6.4,    25.1,    26.4,    23.9,     7.4,    28.2
East Coast Parkway,2024,1,21,    28.0,    22.4,    25.8,    28.0,-,-,-,-,-
East Coast Parkway,2024,1,22,     0.0,     0.0,     0.0,     0.0,    27.6,    30.6,    25.6,     8.9,    33.9
East Coast Parkway,2024,1,23,-,-,-,-,    27.5,    31.4,    25.6,     9.5,    32.8
East Coast Parkway,2024,1,24,     7.2,-,-,-,    27.1,    30.0,    25.1,     7.6,    33.2
East Coast Parkway,2024,1,25,    32.4,    19.6,    28.0,    29.0,    26.2,    29.3,    24.6,     9.0,    38.2
East Coast Parkway,2024,1,26,-,-,-,-,-,-,-,-,-
East Coast Parkway,2024,1,27,     0.0,     0.0,     0.0,     0.0,    28.3,    30.7,    27.0,    15.8,    49.3
East Coast Parkway,2024,1,28,     0.4,     0.2,     0.2,     0.2,    27.9,    30.5,    26.1,    14.0,    49.3
East Coast Parkway,2024,1,29,     0.0,     0.0,     0.0,     0.0,    28.0,    30.4,    26.5,    15.4,    52.2
East Coast Parkway,2024,1,30,     0.0,     0.0,     0.0,     0.0,    27.8,    30.2,    26.2,    14.0,    45.0
East Coast Parkway,2024,1,31,     0.0,     0.0,     0.0,     0.0,    27.8,    31.0,    26.0,    13.5,    52.2
