Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2021,10,1,    12.6,     2.2,     2.6,     4.4,    27.3,    30.4,    23.8,    11.4,    52.6
Jurong Island,2021,10,2,     1.8,     1.2,     2.8,     4.0,    27.0,    28.9,    23.7,     8.1,    28.9
Jurong Island,2021,10,3,     0.0,     0.0,     0.0,     0.0,    28.7,    32.0,    26.2,     8.5,    28.2
Jurong Island,2021,10,4,     0.0,     0.0,     0.0,     0.0,    29.3,    32.3,    27.1,     8.9,    29.1
Jurong Island,2021,10,5,     1.2,     1.0,     1.2,     1.2,    28.1,    29.2,    23.1,     8.3,    50.4
Jurong Island,2021,10,6,     0.0,     0.0,     0.0,     0.0,    29.9,    32.5,    28.1,     9.9,    28.5
Jurong Island,2021,10,7,     0.0,     0.0,     0.0,     0.0,    29.7,    32.6,    27.5,     9.8,    32.8
Jurong Island,2021,10,8,     0.0,     0.0,     0.0,     0.0,    29.5,    32.6,    27.2,    10.0,    30.2
Jurong Island,2021,10,9,     0.0,     0.0,     0.0,     0.0,    29.6,    32.2,    28.1,    12.2,    35.9
Jurong Island,2021,10,10,     2.2,     1.8,     2.0,     2.0,    28.3,    31.6,    25.7,     9.9,    36.7
Jurong Island,2021,10,11,     0.4,     0.2,     0.4,     0.4,    29.4,    33.0,    26.4,    10.2,    34.3
Jurong Island,2021,10,12,     0.0,     0.0,     0.0,     0.0,    29.8,    32.9,    28.4,     9.3,    32.0
Jurong Island,2021,10,13,     0.0,     0.0,     0.0,     0.0,    29.6,    32.8,    28.3,     9.5,    33.5
Jurong Island,2021,10,14,     0.0,     0.0,     0.0,     0.0,    29.6,    32.3,    28.1,    12.1,    40.7
Jurong Island,2021,10,15,     0.0,     0.0,     0.0,     0.0,    29.6,    33.0,    25.1,    10.4,    44.3
Jurong Island,2021,10,16,     0.0,     0.0,     0.0,     0.0,    29.8,    32.4,    28.5,    11.2,    43.2
Jurong Island,2021,10,17,    12.2,    10.2,    11.2,    12.2,    28.0,    32.7,    24.8,     8.6,    32.8
Jurong Island,2021,10,18,     1.6,     1.2,     1.6,     1.6,    27.9,    31.0,    25.8,     8.2,    30.9
Jurong Island,2021,10,19,     0.0,     0.0,     0.0,     0.0,    28.9,    31.3,    27.0,    11.1,    34.3
Jurong Island,2021,10,20,    12.6,     5.6,     6.2,     6.8,    26.9,    30.1,    24.9,    11.0,    39.3
Jurong Island,2021,10,21,     0.0,     0.0,     0.0,     0.0,    28.2,    31.6,    25.5,     8.9,    27.8
Jurong Island,2021,10,22,     0.0,     0.0,     0.0,     0.0,    28.4,    31.4,    26.9,     8.2,    33.5
Jurong Island,2021,10,23,     1.6,     1.6,     1.6,     1.6,    28.4,    31.8,    26.4,     7.6,    27.8
Jurong Island,2021,10,24,     0.2,     0.2,     0.2,     0.2,    28.9,    31.7,    26.9,     8.2,    27.4
Jurong Island,2021,10,25,     0.0,     0.0,     0.0,     0.0,    28.8,    32.1,    26.4,     8.6,    49.6
Jurong Island,2021,10,26,     0.0,     0.0,     0.0,     0.0,    29.6,    33.2,    26.8,     9.2,    27.4
Jurong Island,2021,10,27,    13.6,    10.6,    11.8,    13.2,    29.3,    33.2,    24.6,     9.5,    35.2
Jurong Island,2021,10,28,    28.2,    26.8,    28.2,    28.2,    27.6,    29.4,    23.1,     7.9,    48.9
Jurong Island,2021,10,29,     0.0,     0.0,     0.0,     0.0,    29.0,    31.5,    27.5,    12.7,    40.0
Jurong Island,2021,10,30,     0.0,     0.0,     0.0,     0.0,    29.2,    31.8,    27.9,    12.3,    43.9
Jurong Island,2021,10,31,     4.4,     2.0,     2.6,     3.4,    28.3,    32.2,    26.1,     9.1,    29.1
