Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2024,12,1,     0.0,     0.0,     0.0,     0.0,    28.6,    31.7,    26.1,     8.3,    29.4
Tuas South,2024,12,2,     0.0,     0.0,     0.0,     0.0,    28.0,    31.1,    26.5,     6.2,    23.0
Tuas South,2024,12,3,     2.2,     0.8,     1.2,     2.0,    28.2,    32.8,    25.9,     6.2,    32.8
Tuas South,2024,12,4,     1.4,     1.0,     1.0,     1.4,    28.0,    30.4,    25.9,     5.8,    23.3
Tuas South,2024,12,5,     0.0,     0.0,     0.0,     0.0,    28.8,    32.4,    26.3,     7.1,    29.8
Tuas South,2024,12,6,     0.0,     0.0,     0.0,     0.0,    29.5,    32.8,    26.8,     7.8,    31.7
Tuas South,2024,12,7,     0.0,     0.0,     0.0,     0.0,    29.7,    33.4,    27.0,     8.4,    34.3
Tuas South,2024,12,8,    19.2,    11.4,    17.0,    19.2,    28.2,    33.4,    23.8,     7.0,    32.4
Tuas South,2024,12,9,     2.6,     1.8,     2.2,     2.2,    26.4,    29.2,    24.4,     9.1,    30.9
Tuas South,2024,12,10,     0.0,     0.0,     0.0,     0.0,    27.2,    30.8,    25.3,     9.7,    29.1
Tuas South,2024,12,11,     0.0,     0.0,     0.0,     0.0,    28.7,    32.6,    25.9,     7.6,    32.0
Tuas South,2024,12,12,    33.0,    14.4,    26.6,    30.6,    28.1,    29.7,    23.9,     9.1,    44.6
Tuas South,2024,12,13,    45.0,    27.0,    35.2,    38.6,    27.7,    29.1,    23.7,     8.5,    39.3
Tuas South,2024,12,14,     0.0,     0.0,     0.0,     0.0,    28.8,    31.9,    26.5,     6.8,    24.4
Tuas South,2024,12,15,     0.0,     0.0,     0.0,     0.0,    29.3,    32.5,    27.2,     5.9,    30.6
Tuas South,2024,12,16,     0.0,     0.0,     0.0,     0.0,    28.4,    32.3,    26.9,     6.6,    25.9
Tuas South,2024,12,17,     7.0,     3.0,     4.4,     5.8,    27.6,    31.7,    26.4,     6.2,    26.7
Tuas South,2024,12,18,     1.0,     0.8,     1.0,     1.0,    26.8,    28.2,    25.9,     7.0,    24.4
Tuas South,2024,12,19,     0.4,     0.4,     0.4,     0.4,    27.7,    29.7,    26.1,     7.4,    25.6
Tuas South,2024,12,20,    14.8,    14.0,    14.8,    14.8,    27.2,    30.3,    24.7,     5.6,    22.0
Tuas South,2024,12,21,    22.8,    18.6,    21.4,    22.8,    27.2,    32.7,    23.9,     4.7,    27.4
Tuas South,2024,12,22,     6.0,     5.2,     5.4,     5.6,    27.8,    32.4,    25.3,     4.7,    30.6
Tuas South,2024,12,23,    81.8,    20.0,    27.8,    46.4,    26.8,    32.3,    23.9,     4.3,    29.8
Tuas South,2024,12,24,     2.8,     1.0,     1.0,     5.4,    26.9,    31.1,    24.0,     4.0,    18.0
Tuas South,2024,12,25,     0.2,     0.2,     0.2,     0.2,    27.5,    31.7,    25.7,     5.1,    20.2
Tuas South,2024,12,26,     2.6,     2.4,     2.4,     2.4,    27.7,    31.4,    26.2,     4.4,    28.5
Tuas South,2024,12,27,     0.0,     0.0,     0.0,     0.2,    28.6,    32.3,    26.4,     4.0,    25.6
Tuas South,2024,12,28,    25.6,    15.4,    22.6,    25.2,    27.8,    33.3,    24.8,     4.7,    27.8
Tuas South,2024,12,29,     1.0,     0.6,     1.0,     1.0,    27.2,    31.6,    25.6,     5.2,    28.9
Tuas South,2024,12,30,     4.8,     4.2,     4.4,     4.8,    27.0,    31.9,    23.8,     6.1,    23.3
Tuas South,2024,12,31,     9.2,     3.6,     6.6,     8.8,    27.0,    32.4,    25.2,     5.1,    32.8
