Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2024,3,1,    33.4,    14.8,    18.2,    31.2,    27.8,    32.9,    24.4,     5.4,    34.3
Tuas South,2024,3,2,     6.0,     4.8,     5.0,     5.2,    27.8,    33.0,    25.3,     4.3,    21.7
Tuas South,2024,3,3,    10.6,     6.4,     7.0,     7.0,    26.9,    29.9,    24.8,     3.1,    18.0
Tuas South,2024,3,4,    75.2,    19.4,    27.4,    39.6,    26.9,    30.9,    24.4,     4.7,    22.0
Tuas South,2024,3,5,    29.4,    17.8,    23.4,    26.8,    26.5,    30.4,    24.1,     3.6,    21.3
Tuas South,2024,3,6,     0.2,     0.2,     0.2,     0.2,    27.4,    30.8,    25.6,     4.7,    24.1
Tuas South,2024,3,7,     6.6,     4.8,     6.6,     6.6,    28.1,    33.3,    26.0,     3.7,    23.0
Tuas South,2024,3,8,     1.0,     0.6,     0.8,     1.0,    27.8,    29.6,    26.6,     5.1,    28.9
Tuas South,2024,3,9,     4.4,     4.0,     4.0,     4.4,    28.4,    32.4,    26.4,     3.7,    25.9
Tuas South,2024,3,10,     4.2,     2.0,     2.8,     3.0,    27.5,    31.0,    25.7,     4.4,    20.9
Tuas South,2024,3,11,     0.0,     0.0,     0.0,     0.0,    28.6,    33.0,    26.1,     6.2,    20.6
Tuas South,2024,3,12,     0.0,     0.0,     0.0,     0.0,    29.4,    34.1,    27.1,     5.6,    19.1
Tuas South,2024,3,13,     0.0,     0.0,     0.0,     0.0,    29.5,    34.5,    26.2,     5.9,    19.4
Tuas South,2024,3,14,     0.0,     0.0,     0.0,     0.0,    29.0,    34.1,    26.3,     6.4,    25.6
Tuas South,2024,3,15,     0.0,     0.0,     0.0,     0.0,    28.9,    32.8,    26.3,     4.3,    18.7
Tuas South,2024,3,16,     0.0,     0.0,     0.0,     0.0,    29.3,    34.3,    26.4,     4.7,    25.6
Tuas South,2024,3,17,     1.6,     1.6,     1.6,     1.6,    29.2,    34.6,    26.6,     5.8,    27.0
Tuas South,2024,3,18,     3.4,     3.0,     3.4,     3.4,    29.4,    34.0,    26.5,     6.2,    32.4
Tuas South,2024,3,19,     0.0,     0.0,     0.0,     0.0,    29.2,    33.9,    27.1,     4.3,    24.8
Tuas South,2024,3,20,     0.0,     0.0,     0.0,     0.0,    29.7,    33.7,    27.1,     5.0,    21.3
Tuas South,2024,3,21,     0.6,     0.6,     0.6,     0.6,    29.1,    33.7,    27.2,     3.5,    22.0
Tuas South,2024,3,22,     0.0,     0.0,     0.0,     0.0,    29.6,    33.8,    26.8,     4.4,    23.3
Tuas South,2024,3,23,     0.0,     0.0,     0.0,     0.0,    30.0,    33.8,    26.9,     4.0,    32.4
Tuas South,2024,3,24,     1.6,     1.2,     1.2,     1.6,    29.6,    34.1,    27.2,     4.1,    27.4
Tuas South,2024,3,25,     0.0,     0.0,     0.0,     0.0,    29.8,    33.3,    27.0,     4.2,    27.8
Tuas South,2024,3,26,     0.0,     0.0,     0.0,     0.0,    30.6,    36.2,    27.3,     4.2,    21.7
Tuas South,2024,3,27,     0.0,     0.0,     0.0,     0.0,    29.7,    34.1,    26.8,     5.0,    26.3
Tuas South,2024,3,28,     9.6,     9.0,     9.6,     9.6,    29.5,    33.1,    26.9,     3.2,    27.4
Tuas South,2024,3,29,     0.0,     0.0,     0.0,     0.0,    30.7,    34.1,    28.1,     2.5,    21.7
Tuas South,2024,3,30,     0.0,     0.0,     0.0,     0.0,    29.6,    35.4,    27.4,     3.8,    19.4
Tuas South,2024,3,31,     0.4,     0.2,     0.4,     0.4,    29.3,    32.5,    27.5,     5.1,    20.2
