Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2024,1,1,     6.2,     5.8,     5.8,     5.8,    26.4,    28.7,    25.1,     3.5,    16.5
Tuas South,2024,1,2,     0.0,     0.0,     0.0,     0.2,    27.8,    32.7,    25.2,     4.7,    22.4
Tuas South,2024,1,3,     8.6,     8.2,     8.4,     8.6,    27.7,    30.9,    25.4,     4.4,    22.0
Tuas South,2024,1,4,    32.8,     3.4,     6.4,    10.8,    25.6,    27.5,    24.1,     6.0,    81.7
Tuas South,2024,1,5,     1.4,     0.4,     0.6,     0.6,    26.6,    30.0,    24.8,     4.6,    20.2
Tuas South,2024,1,6,     4.6,     3.0,     3.2,     3.2,    26.8,    29.6,    25.6,     4.8,    20.9
Tuas South,2024,1,7,    32.6,     9.2,    11.8,    15.6,    24.7,    26.4,    23.7,     5.3,    33.2
Tuas South,2024,1,8,    60.6,    43.2,    60.4,    60.6,    25.9,    29.0,    23.6,     3.5,    26.3
Tuas South,2024,1,9,     3.6,     1.2,     1.6,     2.6,    27.0,    30.6,    24.5,     4.2,    17.2
Tuas South,2024,1,10,    42.2,    15.2,    15.4,    26.0,    26.2,    30.1,    24.6,     4.5,    18.7
Tuas South,2024,1,11,     0.8,     0.4,     0.4,     0.8,    27.4,    30.1,    25.5,     3.6,    15.6
Tuas South,2024,1,12,     0.6,     0.4,     0.4,     0.4,    25.9,    27.2,    24.4,     5.3,    25.6
Tuas South,2024,1,13,     0.0,     0.0,     0.0,     0.0,    27.3,    30.5,    25.3,     4.2,    20.9
Tuas South,2024,1,14,     0.0,     0.0,     0.0,     0.0,    28.0,    31.1,    26.2,     5.6,    17.6
Tuas South,2024,1,15,-,-,-,-,    27.1,    32.9,    24.3,     4.8,    25.2
Tuas South,2024,1,16,     9.6,     8.6,     8.6,     8.8,    27.0,    30.8,    24.5,     4.7,    23.3
Tuas South,2024,1,17,     1.0,     0.8,     1.0,     1.0,    27.9,    32.5,    25.8,     4.3,    22.4
Tuas South,2024,1,18,     0.0,     0.0,     0.0,     0.0,    27.4,    30.4,    25.8,     5.3,    23.7
Tuas South,2024,1,19,     6.2,     5.0,     5.2,     5.6,    27.0,    30.1,    24.8,     5.6,    38.9
Tuas South,2024,1,20,     3.8,     0.8,     1.2,     1.4,    25.5,    27.1,    24.0,     5.4,    20.2
Tuas South,2024,1,21,    11.8,    11.2,    11.8,    11.8,    27.0,    30.8,    24.3,     6.8,    20.9
Tuas South,2024,1,22,     0.0,     0.0,     0.0,     0.0,    27.8,    31.0,    25.5,     6.2,    20.9
Tuas South,2024,1,23,     0.0,     0.0,     0.0,     0.0,    27.7,    32.9,    25.9,     4.9,    24.1
Tuas South,2024,1,24,    52.2,    17.4,    17.8,    29.4,    26.2,    30.4,    24.2,     3.2,    18.3
Tuas South,2024,1,25,     2.0,     1.0,     1.8,     4.4,    26.6,    29.6,    24.6,     3.4,    19.4
Tuas South,2024,1,26,     0.0,     0.0,     0.0,     0.0,    28.7,    33.0,    25.9,     5.0,    27.0
Tuas South,2024,1,27,     0.0,     0.0,     0.0,     0.0,    29.1,    33.4,    26.6,     5.5,    28.9
Tuas South,2024,1,28,     0.0,     0.0,     0.0,     0.0,    28.5,    33.1,    25.8,     5.2,    23.0
Tuas South,2024,1,29,     0.0,     0.0,     0.0,     0.0,    28.4,    32.8,    26.0,     5.3,    22.4
Tuas South,2024,1,30,     0.0,     0.0,     0.0,     0.0,    28.3,    33.1,    25.6,     4.6,    18.7
Tuas South,2024,1,31,     1.6,     0.8,     0.8,     1.6,    27.9,    32.6,    25.7,     4.7,    19.1
