Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2024,11,1,    41.2,    38.4,    41.0,    41.0,    27.4,    34.4,    24.4,     3.9,    48.2
Pulau Ubin,2024,11,2,     1.2,     1.2,     1.2,     1.2,    26.9,    30.0,    25.5,     2.9,    22.6
Pulau Ubin,2024,11,3,    12.8,    10.6,    12.4,    12.8,    26.7,    33.3,    24.6,     2.8,    19.1
Pulau Ubin,2024,11,4,    26.0,    15.8,    24.6,    25.0,    26.1,    29.4,    23.6,     2.3,    18.0
Pulau Ubin,2024,11,5,     0.0,     0.0,     0.0,     0.0,    28.2,    34.3,    24.9,     2.9,    18.0
Pulau Ubin,2024,11,6,     0.0,     0.0,     0.0,     0.0,    27.4,    32.1,    24.9,     3.7,    24.1
Pulau Ubin,2024,11,7,    10.0,     8.6,     9.8,    10.0,    27.0,    32.8,    24.6,     2.8,    23.0
Pulau Ubin,2024,11,8,     1.0,     0.8,     1.0,     1.0,    27.9,    33.5,    24.5,     3.8,    30.2
Pulau Ubin,2024,11,9,    10.8,    10.4,    10.6,    10.6,    27.3,    32.7,    24.6,     3.0,    20.9
Pulau Ubin,2024,11,10,    13.2,     9.4,    12.4,    13.2,    27.1,    33.5,    24.3,     3.9,    21.3
Pulau Ubin,2024,11,11,    25.2,     8.0,    14.0,    23.0,    26.6,    33.6,    24.0,     3.2,    20.6
Pulau Ubin,2024,11,12,     7.8,     6.0,     7.6,     7.6,    27.1,    34.4,    24.4,     3.6,    20.2
Pulau Ubin,2024,11,13,     1.0,     0.6,     0.8,     1.0,    26.9,    31.9,    24.8,     2.9,    19.1
Pulau Ubin,2024,11,14,     3.0,     2.4,     3.0,     3.0,    27.3,    32.7,    24.5,     3.1,    15.7
Pulau Ubin,2024,11,15,     1.0,     1.0,     1.0,     1.0,    27.6,    32.6,    25.2,     3.2,    18.3
Pulau Ubin,2024,11,16,    43.6,    37.6,    40.8,    43.4,    26.6,    33.4,    23.8,     2.7,    23.7
Pulau Ubin,2024,11,17,    26.4,    16.0,    17.8,    26.2,    26.2,    31.7,    24.6,     3.3,    16.1
Pulau Ubin,2024,11,18,     2.6,     1.0,     1.0,     1.4,    26.7,    30.1,    24.9,     4.6,    18.7
Pulau Ubin,2024,11,19,    12.6,     5.8,     7.4,     8.2,    26.1,    29.5,    25.1,     2.7,    16.1
Pulau Ubin,2024,11,20,     0.6,     0.4,     0.4,     0.4,    26.2,    28.2,    25.2,     4.1,    18.0
Pulau Ubin,2024,11,21,     0.0,     0.0,     0.0,     0.0,    27.3,    33.5,    24.7,     3.6,    20.9
Pulau Ubin,2024,11,22,    99.8,    28.8,    44.6,    53.6,    26.3,    32.4,    23.9,     3.6,    20.9
Pulau Ubin,2024,11,23,    35.8,    31.4,    33.6,    34.2,    26.7,    32.4,    23.3,     3.0,    20.9
Pulau Ubin,2024,11,24,     0.4,     0.2,     0.2,     0.2,    27.3,    32.1,    25.1,     3.4,    21.3
Pulau Ubin,2024,11,25,     0.6,     0.4,     0.4,     0.6,    27.3,    31.6,    25.6,     2.7,    20.9
Pulau Ubin,2024,11,26,    51.2,    23.8,    36.2,    44.0,    26.2,    32.4,    23.9,     3.2,    21.7
Pulau Ubin,2024,11,27,    27.4,    10.6,    17.0,    24.4,    25.7,    30.0,    24.1,     2.9,    20.6
Pulau Ubin,2024,11,28,    42.4,    21.2,    26.2,    38.0,    26.2,    30.8,    24.3,     2.7,    15.2
Pulau Ubin,2024,11,29,    19.6,     8.8,    10.0,    12.2,    25.4,    26.8,    23.6,     3.1,    18.3
Pulau Ubin,2024,11,30,     0.0,     0.0,     0.0,     0.0,    27.5,    32.5,    24.0,     3.5,    15.6
