Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2024,9,1,     0.0,     0.0,     0.0,     0.0,    29.0,    35.2,    25.1,     3.5,    19.8
Pulau Ubin,2024,9,2,     0.0,     0.0,     0.0,     0.0,    29.4,    33.7,    26.8,     4.1,    19.8
Pulau Ubin,2024,9,3,     2.4,     2.0,     2.4,     2.4,    28.5,    32.1,    26.5,     3.4,    23.0
Pulau Ubin,2024,9,4,    19.0,    10.8,    13.8,    17.6,    26.6,    30.6,    23.7,     3.1,    29.1
Pulau Ubin,2024,9,5,     0.0,     0.0,     0.0,     0.0,    28.6,    33.9,    24.7,     3.7,    19.8
Pulau Ubin,2024,9,6,     0.0,     0.0,     0.0,     0.0,    28.8,    33.5,    26.1,     3.7,    24.1
Pulau Ubin,2024,9,7,     0.0,     0.0,     0.0,     0.0,    29.9,    33.8,    26.9,     5.5,    30.6
Pulau Ubin,2024,9,8,     0.2,     0.2,     0.2,     0.2,    28.1,    32.4,    26.0,     3.3,    26.3
Pulau Ubin,2024,9,9,     4.4,     1.4,     2.4,     2.6,    27.2,    32.7,    25.3,     2.9,    16.1
Pulau Ubin,2024,9,10,     4.0,     2.2,     3.4,     3.8,    27.7,    32.8,    23.6,     3.4,    28.5
Pulau Ubin,2024,9,11,    15.8,     7.2,     9.6,    15.2,    27.3,    33.1,    25.2,     2.4,    14.4
Pulau Ubin,2024,9,12,     0.0,     0.0,     0.0,     0.0,    28.2,    32.6,    24.3,     4.2,    22.0
Pulau Ubin,2024,9,13,     0.0,     0.0,     0.0,     0.0,    29.3,    34.3,    26.0,     3.8,    21.3
Pulau Ubin,2024,9,14,    28.0,    12.0,    20.6,    23.2,    27.0,    31.8,    23.2,     3.6,    43.9
Pulau Ubin,2024,9,15,     4.8,     2.8,     3.0,     4.8,    27.2,    31.8,    25.2,     2.8,    24.1
Pulau Ubin,2024,9,16,     0.0,     0.0,     0.0,     0.0,    28.4,    33.7,    24.7,     4.0,    20.6
Pulau Ubin,2024,9,17,     6.4,     5.4,     6.0,     6.4,    28.6,    33.3,    24.3,     5.2,    43.5
Pulau Ubin,2024,9,18,     0.2,     0.2,     0.2,     0.2,    28.3,    33.7,    24.3,     4.1,    28.9
Pulau Ubin,2024,9,19,     8.8,     8.4,     8.8,     8.8,    28.3,    32.2,    24.2,     3.7,    23.3
Pulau Ubin,2024,9,20,    11.6,    11.6,    11.6,    11.6,    28.8,    33.2,    23.9,     4.0,    32.4
Pulau Ubin,2024,9,21,    17.4,    19.4,    24.6,    26.8,    27.1,    31.2,    23.6,     2.9,    33.2
Pulau Ubin,2024,9,22,     0.0,     0.0,     0.0,     0.0,    29.4,    34.7,    26.1,     3.0,    20.2
Pulau Ubin,2024,9,23,    17.8,    16.8,    17.6,    17.8,    28.2,    34.5,    23.8,     3.9,    28.2
Pulau Ubin,2024,9,24,     5.2,     5.2,     5.2,     5.2,    27.4,    33.0,    25.3,     3.4,    20.2
Pulau Ubin,2024,9,25,     8.0,     7.4,     7.6,     7.6,    26.8,    33.1,    24.9,     3.4,    20.6
Pulau Ubin,2024,9,26,     5.4,     2.2,     3.6,     5.0,    25.9,    29.7,    23.1,     3.9,    25.9
Pulau Ubin,2024,9,27,     0.0,     0.0,     0.0,     0.0,    28.5,    33.5,    24.6,     3.5,    22.6
Pulau Ubin,2024,9,28,     0.0,     0.0,     0.0,     0.0,    28.5,    33.9,    25.4,     3.6,    20.9
Pulau Ubin,2024,9,29,     3.2,     3.2,     3.2,     3.2,    28.1,    33.2,    25.8,     3.0,    22.6
Pulau Ubin,2024,9,30,     4.8,     4.8,     4.8,     4.8,    27.6,    33.5,    25.2,     2.9,    20.9
