Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2024,12,1,     2.0,     1.8,     1.8,     1.8,    28.0,    33.9,    25.5,     4.7,    24.8
Pulau Ubin,2024,12,2,     3.4,     2.4,     3.2,     3.4,    27.3,    32.3,    25.1,     3.5,    22.6
Pulau Ubin,2024,12,3,    15.4,     6.6,     7.2,    11.0,    27.0,    32.1,    24.3,     3.5,    19.8
Pulau Ubin,2024,12,4,     1.2,     1.0,     1.0,     1.0,    27.5,    31.3,    24.9,     3.6,    20.6
Pulau Ubin,2024,12,5,     0.0,     0.0,     0.0,     0.0,    28.4,    32.6,    25.1,     4.9,    33.2
Pulau Ubin,2024,12,6,     0.0,     0.0,     0.0,     0.0,    29.2,    34.6,    25.8,     4.3,    18.0
Pulau Ubin,2024,12,7,     8.2,     8.0,     8.2,     8.2,    28.9,    35.0,    25.3,     5.1,    25.2
Pulau Ubin,2024,12,8,     6.8,     5.8,     6.4,     6.6,    27.6,    33.6,    25.1,     5.5,    39.6
Pulau Ubin,2024,12,9,     2.4,     0.6,     1.0,     1.6,    26.6,    30.4,    24.5,     5.9,    31.7
Pulau Ubin,2024,12,10,     0.2,     0.2,     0.2,     0.2,    27.1,    30.5,    25.3,     6.6,    27.8
Pulau Ubin,2024,12,11,     0.2,     0.2,     0.2,     0.2,    27.9,    33.8,    25.3,     3.7,    15.6
Pulau Ubin,2024,12,12,     0.0,     0.0,     0.0,     0.0,    27.7,    30.8,    25.6,     3.5,    20.6
Pulau Ubin,2024,12,13,     5.2,     3.0,     3.6,     5.0,    26.6,    29.0,    23.7,     2.9,    32.4
Pulau Ubin,2024,12,14,     0.2,     0.2,     0.2,     0.2,    28.4,    34.2,    25.0,     4.3,    22.6
Pulau Ubin,2024,12,15,     0.4,     0.4,     0.4,     0.4,    27.8,    32.9,    25.4,     3.4,    16.9
Pulau Ubin,2024,12,16,     3.4,     2.6,     2.8,     2.8,    27.1,    32.3,    25.0,     3.8,    18.3
Pulau Ubin,2024,12,17,     1.0,     0.6,     0.8,     1.0,    27.5,    31.9,    25.5,     5.8,    24.4
Pulau Ubin,2024,12,18,     1.2,     0.6,     0.8,     0.8,    26.2,    27.9,    25.5,     6.2,    29.1
Pulau Ubin,2024,12,19,     0.0,     0.0,     0.0,     0.0,    27.1,    29.3,    25.5,     6.8,    24.8
Pulau Ubin,2024,12,20,     0.0,     0.0,     0.0,     0.0,    27.0,    30.1,    25.2,     8.4,    30.6
Pulau Ubin,2024,12,21,     6.2,     6.2,     6.2,     6.2,    27.0,    30.8,    24.8,     6.6,    24.8
Pulau Ubin,2024,12,22,     0.0,     0.0,     0.0,     0.0,    27.5,    31.4,    24.9,     6.7,    24.1
Pulau Ubin,2024,12,23,     3.6,     1.4,     1.8,     2.8,    26.9,    30.5,    24.8,     5.8,    19.8
Pulau Ubin,2024,12,24,     7.6,     3.4,     3.4,     4.8,    26.2,    30.5,    24.4,     4.5,    21.7
Pulau Ubin,2024,12,25,     0.0,     0.0,     0.0,     0.0,    27.0,    31.0,    24.1,     5.9,    21.7
Pulau Ubin,2024,12,26,     0.0,     0.0,     0.0,     0.0,    26.7,    30.6,    23.4,     3.7,    18.0
Pulau Ubin,2024,12,27,     0.0,     0.0,     0.0,     0.0,    27.5,    32.4,    25.0,     4.2,    19.4
Pulau Ubin,2024,12,28,     0.0,     0.0,     0.0,     0.0,    27.9,    31.7,    24.9,     6.8,    24.4
Pulau Ubin,2024,12,29,     0.0,     0.0,     0.0,     0.0,    27.7,    32.0,    25.3,     5.4,    24.8
Pulau Ubin,2024,12,30,    33.8,    16.0,    26.0,    32.8,    26.0,    30.1,    22.9,     6.4,    25.2
Pulau Ubin,2024,12,31,     2.0,     1.0,     1.2,     1.4,    27.1,    31.7,    25.0,     6.4,    26.7
