Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2020,10,1,    56.6,    30.0,    46.4,    55.8,    26.9,    28.9,    23.6,     6.3,    30.2
Jurong Island,2020,10,2,     9.0,     5.0,     7.0,     9.0,    28.1,    31.8,    23.7,     7.7,    37.0
Jurong Island,2020,10,3,     4.6,     1.6,     5.8,     9.4,    27.6,    30.5,    24.1,    10.4,    36.7
Jurong Island,2020,10,4,     0.0,     0.0,     0.0,     0.0,    28.7,    30.8,    27.6,     8.3,    24.8
Jurong Island,2020,10,5,     0.0,     0.0,     0.0,     0.0,    29.1,    32.0,    27.4,     6.1,    25.2
Jurong Island,2020,10,6,     0.0,     0.0,     0.0,     0.0,    28.6,    31.1,    27.2,     8.8,    29.4
Jurong Island,2020,10,7,     7.0,     4.8,     4.8,     5.0,    28.2,    31.9,    25.6,     7.1,    35.6
Jurong Island,2020,10,8,    47.0,    16.4,    21.0,    27.6,    27.2,    31.5,    23.8,     6.7,    49.6
Jurong Island,2020,10,9,     0.0,     0.0,     0.0,     0.0,    28.1,    30.0,    26.6,     8.9,    33.2
Jurong Island,2020,10,10,    15.8,    12.8,    14.0,    15.2,    27.6,    29.3,    23.3,     9.3,    47.6
Jurong Island,2020,10,11,     4.4,     2.0,     2.6,     3.6,    27.3,    29.7,    23.9,    12.3,    53.7
Jurong Island,2020,10,12,     0.0,     0.0,     0.0,     0.0,    28.3,    30.1,    26.6,    15.3,    45.7
Jurong Island,2020,10,13,     0.0,     0.0,     0.0,     0.0,    29.2,    31.5,    27.1,     7.9,    28.2
Jurong Island,2020,10,14,     8.4,     8.2,     8.2,     8.4,    28.7,    30.9,    23.4,     9.3,    43.5
Jurong Island,2020,10,15,     0.6,     0.6,     0.6,     0.6,    28.6,    31.1,    25.3,     9.9,    47.8
Jurong Island,2020,10,16,     1.8,     1.6,     1.8,     1.8,    28.7,    32.4,    24.7,    11.2,    54.1
Jurong Island,2020,10,17,     0.0,     0.0,     0.0,     0.0,    29.5,    32.5,    27.6,     9.2,    26.3
Jurong Island,2020,10,18,     2.8,     2.6,     2.6,     2.6,    28.2,    31.0,    24.4,    10.7,    40.0
Jurong Island,2020,10,19,     4.8,     4.6,     4.8,     4.8,    28.5,    31.9,    24.4,     9.4,    32.8
Jurong Island,2020,10,20,    15.4,     9.2,    13.4,    15.0,    27.8,    29.5,    24.6,     6.5,    38.2
Jurong Island,2020,10,21,     2.8,     2.2,     2.6,     2.8,    29.2,    33.2,    25.7,     6.3,    33.2
Jurong Island,2020,10,22,    30.4,    16.8,    20.8,    26.2,    27.2,    30.7,    22.9,     8.6,    41.5
Jurong Island,2020,10,23,     0.0,     0.0,     0.0,     0.0,    29.1,    32.1,    27.5,     6.4,    24.1
Jurong Island,2020,10,24,     2.4,     1.8,     2.0,     2.4,    28.2,    30.4,    26.2,     6.2,    19.4
Jurong Island,2020,10,25,     0.6,     0.6,     0.6,     0.6,    28.7,    32.1,    24.9,     7.0,    46.1
Jurong Island,2020,10,26,    13.2,     7.0,     8.2,     8.8,    27.8,    29.8,    24.5,     6.1,    43.5
Jurong Island,2020,10,27,     0.0,     0.0,     0.0,     0.0,    29.8,    32.8,    27.4,     6.6,    28.9
Jurong Island,2020,10,28,     1.2,     1.2,     1.2,     1.2,    28.2,    29.3,    26.3,     7.1,    29.1
Jurong Island,2020,10,29,     0.0,     0.0,     0.0,     0.0,    28.5,    31.8,    27.1,     9.7,    30.6
Jurong Island,2020,10,30,     0.0,     0.0,     0.0,     0.0,    28.9,    31.6,    26.5,     9.5,    28.5
Jurong Island,2020,10,31,    27.6,    15.8,    17.2,    26.2,    27.7,    31.6,    23.9,     7.7,    40.0
