Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2020,12,1,     0.0,     0.0,     0.0,     0.0,    29.5,    33.2,    26.1,     5.7,    25.6
Jurong Island,2020,12,2,     6.4,     5.0,     6.2,     6.4,    28.7,    31.6,    24.1,     5.9,    25.9
Jurong Island,2020,12,3,     0.0,     0.0,     0.0,     0.0,    28.5,    32.0,    26.0,     6.5,    26.7
Jurong Island,2020,12,4,    19.0,    10.8,    15.4,    18.8,    27.1,    31.8,    24.8,     6.8,    33.5
Jurong Island,2020,12,5,     0.2,     0.2,     0.2,     0.2,    27.4,    32.1,    25.6,     6.6,    27.4
Jurong Island,2020,12,6,    17.0,    16.0,    17.0,    17.0,    28.7,    33.5,    24.9,     7.3,    45.0
Jurong Island,2020,12,7,     5.0,     4.8,     5.0,     5.0,    28.7,    33.8,    26.2,     7.1,    32.4
Jurong Island,2020,12,8,     0.0,     0.0,     0.0,     0.0,    28.8,    33.2,    26.5,     8.2,    30.6
Jurong Island,2020,12,9,     0.0,     0.0,     0.0,     0.0,    28.7,    33.1,    26.1,     7.3,    28.9
Jurong Island,2020,12,10,     0.0,     0.0,     0.0,     0.0,    28.6,    32.7,    26.4,     7.2,    30.6
Jurong Island,2020,12,11,     0.0,     0.0,     0.0,     0.0,    28.5,    32.0,    25.8,     6.7,    36.3
Jurong Island,2020,12,12,     1.0,     0.6,     0.8,     1.0,    27.8,    32.8,    24.2,     7.8,    35.2
Jurong Island,2020,12,13,     1.2,     0.4,     0.6,     0.8,    27.9,    30.5,    24.6,     7.2,    27.0
Jurong Island,2020,12,14,     3.4,     1.0,     1.6,     2.4,    27.2,    31.9,    24.8,     6.7,    29.8
Jurong Island,2020,12,15,    38.2,    24.6,    33.2,    34.6,    26.5,    31.9,    24.0,     6.2,    30.6
Jurong Island,2020,12,16,    26.0,    14.0,    14.0,    23.8,-,-,-,-,-
Jurong Island,2020,12,17,    12.8,     7.8,     9.0,    11.0,-,-,-,-,-
Jurong Island,2020,12,18,     3.0,     2.2,     2.4,     2.8,-,-,-,-,-
Jurong Island,2020,12,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Island,2020,12,20,     2.0,     1.6,     1.6,     2.0,-,-,-,-,-
Jurong Island,2020,12,21,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Jurong Island,2020,12,22,    16.4,    14.4,    16.2,    16.4,-,-,-,-,-
Jurong Island,2020,12,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Island,2020,12,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Island,2020,12,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Island,2020,12,26,    18.0,     7.6,    11.8,    14.6,-,-,-,-,-
Jurong Island,2020,12,27,     0.4,     0.4,     0.4,     0.8,-,-,-,-,-
Jurong Island,2020,12,28,    67.2,    37.0,    53.0,    59.0,-,-,-,-,-
Jurong Island,2020,12,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Island,2020,12,30,     7.6,     2.0,     2.2,     3.8,-,-,-,-,-
Jurong Island,2020,12,31,    24.2,    19.8,    22.2,    23.4,-,-,-,-,-
