Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2020,5,1,    15.6,    10.6,    11.6,    15.0,    27.8,    31.1,    25.3,     6.7,    30.2
Jurong Island,2020,5,2,     3.2,     4.2,     4.6,     8.4,    29.0,    32.0,    25.0,     4.1,    19.1
Jurong Island,2020,5,3,     1.0,     1.0,     1.0,     1.0,    29.3,    32.6,    26.4,     5.4,    27.0
Jurong Island,2020,5,4,    47.0,    41.2,    45.6,    46.2,    28.5,    30.7,    24.0,     4.0,    35.9
Jurong Island,2020,5,5,     0.0,     0.0,     0.0,     0.0,    29.7,    33.4,    26.9,     5.3,    24.8
Jurong Island,2020,5,6,     4.6,     2.2,     2.4,     4.6,    28.7,    30.8,    25.5,     7.7,    36.3
Jurong Island,2020,5,7,     0.0,     0.0,     0.0,     0.0,    30.4,    33.9,    28.3,     6.8,    22.4
Jurong Island,2020,5,8,    36.6,    18.4,    29.2,    35.0,    29.2,    32.9,    24.9,     8.7,    42.4
Jurong Island,2020,5,9,     0.0,     0.0,     0.0,     0.0,    30.4,    33.2,    28.3,    10.4,    28.9
Jurong Island,2020,5,10,     0.0,     0.0,     0.0,     0.0,    29.8,    31.7,    28.3,    14.3,    33.2
Jurong Island,2020,5,11,    15.6,    11.2,    12.2,    14.6,    29.2,    31.6,    25.7,    13.1,    50.4
Jurong Island,2020,5,12,     0.0,     0.0,     0.0,     0.0,    30.2,    32.6,    28.7,    12.4,    37.4
Jurong Island,2020,5,13,     2.8,     2.8,     2.8,     2.8,    28.5,    31.7,    24.8,     9.2,    48.9
Jurong Island,2020,5,14,     0.0,     0.0,     0.0,     0.0,    29.4,    32.8,    27.0,     6.8,    37.4
Jurong Island,2020,5,15,     0.0,     0.0,     0.0,     0.0,    29.8,    32.2,    28.2,     9.1,    28.9
Jurong Island,2020,5,16,     0.0,     0.0,     0.0,     0.0,    30.0,    32.5,    28.9,    11.3,    38.9
Jurong Island,2020,5,17,    32.8,    14.4,    20.0,    20.4,    28.4,    31.5,    24.3,     7.7,    50.0
Jurong Island,2020,5,18,     0.6,     0.4,     0.8,     3.2,    29.3,    32.6,    26.4,     8.2,    24.8
Jurong Island,2020,5,19,    20.4,    12.0,    18.8,    20.4,    30.2,    33.3,    27.4,     9.2,    30.9
Jurong Island,2020,5,20,    42.4,    29.2,    32.8,    36.0,    28.0,    31.2,    24.5,     7.3,    39.6
Jurong Island,2020,5,21,     0.6,     0.6,     0.6,     0.6,    29.7,    33.0,    27.3,     5.0,    30.2
Jurong Island,2020,5,22,    53.4,    39.2,    48.4,    49.2,    28.2,    34.0,    22.9,     5.7,    45.7
Jurong Island,2020,5,23,     0.4,     0.2,     0.2,     0.2,    27.8,    30.0,    25.9,     5.7,    29.1
Jurong Island,2020,5,24,     0.0,     0.0,     0.0,     0.0,    29.9,    32.6,    28.0,     7.7,    21.3
Jurong Island,2020,5,25,     0.0,     0.0,     0.0,     0.0,    30.1,    33.3,    28.4,     8.5,    32.8
Jurong Island,2020,5,26,     8.6,     8.2,     8.6,     8.6,    29.9,    33.4,    25.8,     6.6,    39.6
Jurong Island,2020,5,27,     1.6,     0.6,     0.8,     1.6,    28.7,    30.6,    26.7,     6.4,    31.7
Jurong Island,2020,5,28,     0.0,     0.0,     0.0,     0.0,    29.6,    32.2,    28.0,     9.9,    28.2
Jurong Island,2020,5,29,     0.0,     0.0,     0.0,     0.0,    29.1,    32.2,    27.8,     8.8,    30.9
Jurong Island,2020,5,30,     0.8,     0.6,     0.8,     0.8,    28.8,    32.5,    27.0,     4.7,    24.4
Jurong Island,2020,5,31,     0.0,     0.0,     0.0,     0.0,    29.3,    31.8,    27.0,     6.7,    28.2
