Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2020,2,1,0,0,0,0,28.9,32.4,26.9,9,41
Jurong Island,2020,2,2,0,0,0,0,28.4,31.8,26.7,7.6,43.2
Jurong Island,2020,2,3,0,0,0,0,28.7,33.4,25.8,7.2,37.4
Jurong Island,2020,2,4,0,0,0,0,28.2,32.2,25.6,6.8,29.2
Jurong Island,2020,2,5,0,0,0,0,28.4,34.2,25.6,6.1,37.1
Jurong Island,2020,2,6,3.8,3.4,3.4,3.8,28.4,33.7,26.5,7.2,33.5
Jurong Island,2020,2,7,0,0,0,0,28.8,33.1,26.2,6.8,35.3
Jurong Island,2020,2,8,0,0,0,0,28.1,33,25.3,5.4,24.5
Jurong Island,2020,2,9,3.8,1.2,1.4,1.4,26.9,31.3,23.9,6.8,30.6
Jurong Island,2020,2,10,13.4,4.6,7.6,9.6,26.9,31.7,23.5,6.5,30.6
Jurong Island,2020,2,11,1.2,0.4,0.4,0.6,27.5,29.8,25.5,5.4,26.6
Jurong Island,2020,2,12,0,0,0,0,28.2,31.2,26,9,35.6
Jurong Island,2020,2,13,29,13.8,14.2,22,28,31.7,25.6,6.1,31.3
Jurong Island,2020,2,14,0.4,0.2,0.4,0.4,28.6,32.9,26.4,6.8,31.7
Jurong Island,2020,2,15,0,0,0,0,28.8,31.9,26.1,6.1,30.6
Jurong Island,2020,2,16,0,0,0,0,28.6,31,27.1,6.5,24.1
Jurong Island,2020,2,17,0,0,0,0,29.2,34.2,26.8,6.5,35.3
Jurong Island,2020,2,18,0,0,0,0,28,30.8,25.8,6.1,43.2
Jurong Island,2020,2,19,0,0,0,0,28.7,33.4,26.7,6.8,36
Jurong Island,2020,2,20,0.2,0.2,0.2,0.2,28.9,33.3,26.5,7.6,40.3
Jurong Island,2020,2,21,9.6,4.6,4.8,5.6,27.7,30.7,24.8,6.8,44.6
Jurong Island,2020,2,22,0,0,0,0,28.6,32.2,26.3,8.3,49
Jurong Island,2020,2,23,0,0,0,0,28.7,32.8,26.4,8.3,47.9
Jurong Island,2020,2,24,0,0,0,0,28.2,31.8,26.1,7.6,38.2
Jurong Island,2020,2,25,0,0,0,0,29,32.9,26.2,7.2,37.1
Jurong Island,2020,2,26,0,0,0,0,29.4,34.1,26.3,6.8,34.9
Jurong Island,2020,2,27,0,0,0,0,29.3,34.1,26.6,7.6,37.1
Jurong Island,2020,2,28,0,0,0,0,28.9,32.8,26.7,6.8,36.4
Jurong Island,2020,2,29,0,0,0,0,29.3,34.4,26.1,7.6,34.2
