Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Ang Mo Kio,2025,2,1,-,-,-,-,    26.9,    31.4,    25.0,     7.3,    28.9
Ang Mo Kio,2025,2,2,    18.8,-,-,-,    27.0,    33.8,    24.2,     6.6,    29.8
Ang Mo Kio,2025,2,3,     0.0,     0.0,     0.0,     0.0,    27.6,    32.2,    24.7,     8.4,    27.4
Ang Mo Kio,2025,2,4,     2.0,     1.8,     2.0,     2.0,    26.8,    32.8,    24.3,     8.0,    32.8
Ang Mo Kio,2025,2,5,    14.2,     3.8,     5.6,     8.0,    24.7,    26.7,    23.1,     8.3,    30.2
Ang Mo Kio,2025,2,6,     0.0,     0.0,     0.0,     0.0,    26.7,    31.1,    24.0,     8.7,    33.5
Ang Mo Kio,2025,2,7,     0.0,     0.0,     0.0,     0.0,    27.0,    32.0,    24.1,     9.6,    35.9
Ang Mo Kio,2025,2,8,     0.0,     0.0,     0.0,     0.0,    26.9,    31.7,    24.4,    10.2,    41.9
Ang Mo Kio,2025,2,9,     0.0,     0.0,     0.0,     0.0,    26.6,    31.1,    24.5,    10.8,    38.2
Ang Mo Kio,2025,2,10,     0.0,     0.0,     0.0,     0.0,    26.8,    31.7,    24.3,    10.8,    41.5
Ang Mo Kio,2025,2,11,     0.0,     0.0,     0.0,     0.0,    27.1,    31.4,    24.5,     9.4,    33.9
Ang Mo Kio,2025,2,12,     0.0,     0.0,     0.0,     0.0,    27.5,    32.1,    24.4,     8.4,    30.2
Ang Mo Kio,2025,2,13,     0.0,     0.0,     0.0,     0.0,    27.5,    33.0,    25.0,     7.3,    26.3
Ang Mo Kio,2025,2,14,     0.0,     0.0,     0.0,     0.0,    27.6,    33.1,    24.9,     7.9,    35.6
Ang Mo Kio,2025,2,15,    38.6,    21.4,    38.0,    38.2,    26.8,    32.2,    23.7,     6.2,    40.7
Ang Mo Kio,2025,2,16,     0.0,     0.0,     0.0,     0.0,    27.7,    32.6,    24.7,     6.9,    29.1
Ang Mo Kio,2025,2,17,    71.4,    39.0,    58.8,    66.4,    27.1,    33.7,    23.2,     4.4,    24.1
Ang Mo Kio,2025,2,18,     0.0,     0.0,     0.0,     0.0,    26.4,    29.0,    24.9,     8.2,    32.4
Ang Mo Kio,2025,2,19,     0.0,     0.0,     0.0,     0.0,    27.2,    30.8,    25.1,     8.7,    31.7
Ang Mo Kio,2025,2,20,     0.0,     0.0,     0.0,     0.0,    27.9,    32.0,    25.4,     8.6,    30.9
Ang Mo Kio,2025,2,21,     0.0,     0.0,     0.0,     0.0,    27.6,    31.6,    25.0,     8.5,    33.5
Ang Mo Kio,2025,2,22,     2.6,     1.6,     1.6,     1.6,    27.4,    31.3,    25.3,     8.2,    27.4
Ang Mo Kio,2025,2,23,    11.2,    10.2,    10.8,    11.2,    26.7,    31.4,    23.5,     5.5,    27.4
Ang Mo Kio,2025,2,24,     0.0,     0.0,     0.0,     0.0,    27.8,    32.1,    24.9,     8.3,    35.9
Ang Mo Kio,2025,2,25,     1.2,     1.2,     1.2,     1.2,    27.4,    30.8,    24.6,     9.7,    43.9
Ang Mo Kio,2025,2,26,     0.6,     0.4,     0.4,     0.4,    27.4,    30.5,    25.7,    10.5,    44.3
Ang Mo Kio,2025,2,27,     0.0,     0.0,     0.0,     0.0,    27.7,    31.6,    25.6,    10.3,    40.0
Ang Mo Kio,2025,2,28,     0.0,     0.0,     0.0,     0.0,    28.1,    32.1,    25.7,     8.8,    40.0
