Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2022,9,1,     0.0,     0.0,     0.0,     0.0,    28.8,    31.9,    27.6,     8.6,    24.8
Jurong Island,2022,9,2,     2.6,     1.0,     1.8,     2.0,    27.4,    30.1,    26.3,     6.7,    29.8
Jurong Island,2022,9,3,     0.0,     0.0,     0.0,     0.0,    28.4,    31.6,    26.8,     8.2,    40.0
Jurong Island,2022,9,4,     3.2,     2.4,     2.8,     3.2,    28.2,    30.8,    26.4,     6.7,    22.6
Jurong Island,2022,9,5,     0.2,     0.2,     0.2,     0.2,    27.9,    31.1,    25.3,     8.9,    33.5
Jurong Island,2022,9,6,     0.0,     0.0,     0.0,     0.0,    28.5,    31.7,    26.1,     7.6,    26.7
Jurong Island,2022,9,7,    15.0,    12.2,    13.8,    13.8,    26.9,    28.3,    24.8,     6.1,    29.4
Jurong Island,2022,9,8,     0.0,     0.0,     0.0,     0.0,    28.2,    31.2,    26.3,     7.7,    26.7
Jurong Island,2022,9,9,     8.8,     4.6,     5.4,     5.4,    26.7,    28.0,    23.7,     7.4,    26.3
Jurong Island,2022,9,10,     0.0,     0.0,     0.0,     0.0,    27.9,    30.7,    26.1,     8.6,    27.4
Jurong Island,2022,9,11,     0.0,     0.0,     0.0,     0.0,    27.7,    29.9,    26.4,     8.1,    38.2
Jurong Island,2022,9,12,     0.0,     0.0,     0.0,     0.0,    28.7,    32.4,    25.9,     6.8,    27.8
Jurong Island,2022,9,13,     6.4,     4.2,     6.0,     6.2,    27.2,    29.4,    24.0,     6.5,    35.0
Jurong Island,2022,9,14,     0.0,     0.0,     0.0,     0.0,    26.9,    29.1,    25.8,    11.2,    48.2
Jurong Island,2022,9,15,     0.0,     0.0,     0.0,     0.0,    28.2,    30.8,    26.3,     7.1,    21.3
Jurong Island,2022,9,16,     0.0,     0.0,     0.0,     0.0,    28.8,    31.5,    27.1,     6.5,    24.1
Jurong Island,2022,9,17,     1.2,     1.2,     1.2,     1.2,    28.0,    29.8,    25.6,     7.2,    44.3
Jurong Island,2022,9,18,   103.4,    27.6,    46.0,    77.4,    26.0,    28.1,    22.2,     7.3,    30.2
Jurong Island,2022,9,19,     0.0,     0.0,     0.0,     0.0,    27.4,    29.5,    25.6,     6.6,    32.4
Jurong Island,2022,9,20,     0.8,     0.8,     0.8,     0.8,    27.5,    29.9,    24.1,     6.7,    33.5
Jurong Island,2022,9,21,     0.0,     0.0,     0.0,     0.0,    28.7,    31.4,    26.6,     7.3,    22.0
Jurong Island,2022,9,22,    53.0,    17.0,    31.8,    45.0,    26.7,    28.7,    22.3,     8.1,    57.2
Jurong Island,2022,9,23,     0.2,     0.2,     0.2,     0.2,    28.5,    32.0,    26.2,     7.2,    21.7
Jurong Island,2022,9,24,     0.0,     0.0,     0.0,     0.0,    28.5,    31.6,    26.7,     7.8,    23.3
Jurong Island,2022,9,25,    62.0,    16.4,    25.8,    42.2,    26.9,    30.0,    22.5,     8.1,    45.7
Jurong Island,2022,9,26,     0.0,     0.0,     0.0,     0.0,    28.3,    30.1,    26.8,     7.2,    27.0
Jurong Island,2022,9,27,     0.0,     0.0,     0.0,     0.0,    28.7,    32.1,    25.9,     6.4,    27.0
Jurong Island,2022,9,28,     0.0,     0.0,     0.0,     0.0,    28.9,    32.0,    26.5,     7.6,    27.4
Jurong Island,2022,9,29,     0.2,     0.2,     0.2,     0.2,    28.0,    30.4,    24.8,     6.4,    29.8
Jurong Island,2022,9,30,     0.0,     0.0,     0.0,     0.0,    28.9,    31.9,    26.9,     9.0,    43.5
