Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2022,3,1,    22.0,    17.0,    17.0,    17.0,    27.2,    30.2,    23.9,     9.2,    40.4
Jurong Island,2022,3,2,     2.6,     2.6,     2.6,     2.6,    27.7,    32.6,    25.0,     8.4,    32.4
Jurong Island,2022,3,3,    13.8,     6.2,     6.2,    10.4,    27.3,    32.6,    24.1,     9.6,    38.5
Jurong Island,2022,3,4,     0.0,     0.0,     0.0,     0.0,    28.4,    32.8,    26.0,    12.1,    35.0
Jurong Island,2022,3,5,     0.0,     0.0,     0.0,     0.0,    28.4,    33.0,    25.4,     9.9,    32.4
Jurong Island,2022,3,6,     0.0,     0.0,     0.0,     0.0,    27.4,    29.5,    25.9,     6.9,    21.3
Jurong Island,2022,3,7,     0.0,     0.0,     0.0,     0.0,    27.8,    31.7,    25.5,     8.8,    34.6
Jurong Island,2022,3,8,     0.0,     0.0,     0.0,     0.0,    27.9,    30.8,    25.5,     9.5,    40.0
Jurong Island,2022,3,9,    20.6,    11.8,    16.6,    20.4,    27.9,    31.9,    25.4,     9.9,    34.6
Jurong Island,2022,3,10,    10.2,     4.8,     6.0,    10.0,    27.1,    31.6,    22.5,     8.9,    46.5
Jurong Island,2022,3,11,    15.4,    15.4,    15.4,    15.4,    28.2,    32.6,    24.7,     9.4,    28.9
Jurong Island,2022,3,12,     0.4,     0.4,     0.4,     0.4,    28.3,    33.7,    25.9,     9.0,    38.5
Jurong Island,2022,3,13,     0.0,     0.0,     0.0,     0.0,    28.8,    34.0,    25.4,    10.1,    33.2
Jurong Island,2022,3,14,     0.0,     0.0,     0.0,     0.0,    29.0,    32.3,    27.2,    10.9,    35.2
Jurong Island,2022,3,15,     8.6,     4.2,     5.6,     6.2,    27.2,    30.2,    25.3,     8.2,    31.7
Jurong Island,2022,3,16,     0.4,     0.4,     0.4,     0.4,    28.3,    31.1,    25.5,     8.4,    33.5
Jurong Island,2022,3,17,     2.2,     2.2,     2.2,     2.2,    28.2,    31.5,    26.5,     8.5,    26.3
Jurong Island,2022,3,18,     0.2,     0.2,     0.2,     0.2,    28.3,    31.9,    25.3,     9.2,    35.0
Jurong Island,2022,3,19,     0.0,     0.0,     0.0,     0.0,    29.8,    34.9,    26.0,     9.3,    27.4
Jurong Island,2022,3,20,     0.6,     0.4,     0.6,     0.6,    28.2,    31.0,    24.6,     9.6,    32.8
Jurong Island,2022,3,21,     6.8,     2.8,     4.8,     6.6,    28.2,    31.4,    22.9,     8.8,    46.5
Jurong Island,2022,3,22,     0.0,     0.0,     0.0,     0.0,    29.0,    32.3,    27.6,    13.8,    42.8
Jurong Island,2022,3,23,     0.0,     0.0,     0.0,     0.0,    29.3,    32.7,    27.0,    11.2,    40.7
Jurong Island,2022,3,24,     0.0,     0.0,     0.0,     0.0,    29.2,    33.1,    26.2,     9.5,    35.6
Jurong Island,2022,3,25,     0.0,     0.0,     0.0,     0.0,    29.4,    32.8,    27.7,    12.7,    37.0
Jurong Island,2022,3,26,     0.0,     0.0,     0.0,     0.0,    29.6,    33.1,    27.4,     9.3,    28.9
Jurong Island,2022,3,27,     0.0,     0.0,     0.0,     0.0,    29.9,    34.0,    26.5,    10.1,    33.5
Jurong Island,2022,3,28,     0.0,     0.0,     0.0,     0.0,    29.4,    32.8,    27.9,     9.5,    30.9
Jurong Island,2022,3,29,     1.2,     0.6,     1.0,     1.2,    28.8,    34.8,    24.8,     9.5,    38.2
Jurong Island,2022,3,30,     0.0,     0.0,     0.0,     0.0,    29.6,    33.6,    26.8,     9.4,    30.9
Jurong Island,2022,3,31,     0.0,     0.0,     0.0,     0.0,    28.7,    32.5,    26.4,     9.6,    37.8
