Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2022,1,1,    30.2,    21.8,    27.0,    27.8,    25.8,    30.3,    24.0,     7.8,    37.4
Jurong Island,2022,1,2,    27.6,     7.2,     8.4,    11.2,    24.6,    25.5,    23.5,     8.9,    28.5
Jurong Island,2022,1,3,     0.2,     0.2,     0.2,     0.2,    26.1,    29.2,    23.9,     9.1,    31.3
Jurong Island,2022,1,4,     1.4,     1.0,     1.0,     1.0,    26.5,    31.0,    24.6,    11.1,    32.0
Jurong Island,2022,1,5,     0.0,     0.0,     0.0,     0.0,    28.2,    33.0,    24.9,    11.4,    34.3
Jurong Island,2022,1,6,     0.0,     0.0,     0.0,     0.0,    28.8,    33.7,    26.1,    11.4,    33.5
Jurong Island,2022,1,7,     2.0,     1.0,     1.2,     1.4,    27.8,    32.7,    25.7,    10.0,    33.5
Jurong Island,2022,1,8,     2.0,     2.0,     2.0,     2.0,    28.1,    32.4,    26.2,    10.0,    37.4
Jurong Island,2022,1,9,     0.0,     0.0,     0.0,     0.0,    28.7,    33.1,    26.1,    10.2,    40.7
Jurong Island,2022,1,10,     0.0,     0.0,     0.0,     0.0,    28.6,    32.5,    26.0,    10.4,    38.5
Jurong Island,2022,1,11,     4.0,     2.8,     3.4,     3.4,    27.7,    33.0,    25.4,     9.1,    33.5
Jurong Island,2022,1,12,     0.0,     0.0,     0.0,     0.0,    28.2,    33.3,    25.7,    10.2,    42.8
Jurong Island,2022,1,13,     0.0,     0.0,     0.0,     0.0,    28.0,    33.6,    25.0,     9.5,    39.3
Jurong Island,2022,1,14,     0.0,     0.0,     0.0,     0.0,    28.0,    32.3,    25.4,    10.3,    40.7
Jurong Island,2022,1,15,     1.0,     1.0,     1.0,     1.0,    27.9,    31.9,    25.9,     9.0,    33.2
Jurong Island,2022,1,16,     9.2,     3.2,     5.8,     7.2,    27.8,    32.3,    25.0,     9.8,    42.4
Jurong Island,2022,1,17,     5.6,     3.4,     5.0,     5.6,    27.5,    31.5,    25.9,     9.9,    39.6
Jurong Island,2022,1,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Island,2022,1,19,-,-,-,-,-,-,-,-,-
Jurong Island,2022,1,20,-,-,-,-,-,-,-,-,-
Jurong Island,2022,1,21,-,-,-,-,-,-,-,-,-
Jurong Island,2022,1,22,-,-,-,-,-,-,-,-,-
Jurong Island,2022,1,23,-,-,-,-,-,-,-,-,-
Jurong Island,2022,1,24,     0.0,-,-,-,-,-,-,-,-
Jurong Island,2022,1,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Jurong Island,2022,1,26,     0.0,     0.0,     0.0,     0.0,    28.2,    32.3,    25.8,     9.5,    38.2
Jurong Island,2022,1,27,     0.0,     0.0,     0.0,     0.0,    28.1,    32.4,    25.5,     9.1,    35.2
Jurong Island,2022,1,28,     0.0,     0.0,     0.0,     0.0,    28.8,    33.7,    25.8,    10.4,    37.0
Jurong Island,2022,1,29,     0.0,     0.0,     0.0,     0.0,    28.3,    32.1,    25.2,    10.6,    42.8
Jurong Island,2022,1,30,     0.0,     0.0,     0.0,     0.0,    28.0,    32.3,    25.9,    11.0,    34.6
Jurong Island,2022,1,31,     0.0,     0.0,     0.0,     0.0,    28.5,    33.0,    26.1,    11.5,    38.2
