Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2022,5,1,     1.4,     1.4,     1.4,     1.4,    29.2,    32.5,    24.7,     7.8,    24.4
Jurong Island,2022,5,2,     7.6,     3.2,     3.8,     5.0,    28.2,    30.4,    25.4,     8.2,    39.3
Jurong Island,2022,5,3,    57.2,    34.8,    41.4,    51.0,    28.1,    31.5,    23.8,     9.2,    48.2
Jurong Island,2022,5,4,    49.0,    27.0,    40.6,    45.4,    28.1,    30.2,    24.5,     9.2,    38.2
Jurong Island,2022,5,5,     0.0,     0.0,     0.0,     0.0,    28.8,    31.2,    27.0,     7.6,    29.8
Jurong Island,2022,5,6,     0.0,     0.0,     0.0,     0.0,    29.5,    32.3,    27.6,     8.9,    27.0
Jurong Island,2022,5,7,    16.2,     5.2,     7.6,     9.6,    27.9,    30.7,    24.2,    11.2,    41.1
Jurong Island,2022,5,8,     1.0,     0.6,     1.0,     1.0,    28.4,    30.5,    26.3,    10.8,    35.2
Jurong Island,2022,5,9,     0.4,     0.4,     0.4,     0.4,    29.8,    32.9,    28.3,    15.7,    39.3
Jurong Island,2022,5,10,     0.0,     0.0,     0.0,     0.0,    30.1,    33.6,    28.5,    15.4,    46.1
Jurong Island,2022,5,11,     4.0,     1.8,     2.6,     3.4,    27.9,    31.7,    24.4,     9.1,    39.3
Jurong Island,2022,5,12,     0.0,     0.0,     0.0,     0.0,    30.5,    33.3,    28.6,    11.8,    35.6
Jurong Island,2022,5,13,     0.0,     0.0,     0.0,     0.0,    30.5,    34.7,    27.1,     9.5,    28.9
Jurong Island,2022,5,14,     0.0,     0.0,     0.0,     0.0,    30.1,    33.2,    28.3,    12.8,    35.0
Jurong Island,2022,5,15,     0.0,     0.0,     0.0,     0.0,    29.5,    33.4,    27.1,    11.5,    31.7
Jurong Island,2022,5,16,    23.8,    15.2,    16.4,    23.2,    27.8,    31.3,    25.9,     9.1,    47.8
Jurong Island,2022,5,17,     0.0,     0.0,     0.0,     0.0,    29.3,    32.8,    26.5,     7.9,    28.5
Jurong Island,2022,5,18,     0.0,     0.0,     0.0,     0.0,    30.1,    34.2,    27.7,     9.8,    29.4
Jurong Island,2022,5,19,     1.6,     1.6,     1.6,     1.6,    28.9,    32.2,    25.5,     9.8,    35.6
Jurong Island,2022,5,20,     0.0,     0.0,     0.0,     0.0,    29.4,    32.4,    27.8,     7.6,    24.1
Jurong Island,2022,5,21,     0.0,     0.0,     0.0,     0.0,    29.7,    33.3,    27.6,     8.0,    24.8
Jurong Island,2022,5,22,     0.0,     0.0,     0.0,     0.0,    29.9,    32.8,    27.9,     8.1,    24.4
Jurong Island,2022,5,23,     0.0,     0.0,     0.0,     0.0,    30.0,    33.0,    28.4,     9.5,    31.7
Jurong Island,2022,5,24,     0.0,     0.0,     0.0,     0.0,    30.2,    33.5,    27.3,    13.0,    35.0
Jurong Island,2022,5,25,    11.0,     4.2,     5.4,     6.4,    27.7,    31.2,    25.8,     9.0,    42.0
Jurong Island,2022,5,26,     0.0,     0.0,     0.0,     0.0,    28.8,    32.2,    25.4,     8.6,    24.4
Jurong Island,2022,5,27,     0.0,     0.0,     0.0,     0.0,    30.3,    33.1,    27.9,    10.4,    29.4
Jurong Island,2022,5,28,     0.0,     0.0,     0.0,     0.0,    29.6,    31.7,    25.4,     9.6,    39.6
Jurong Island,2022,5,29,     0.0,     0.0,     0.0,     0.0,    30.5,    33.8,    28.1,    10.5,    30.6
Jurong Island,2022,5,30,     0.0,     0.0,     0.0,     0.0,    30.9,    34.3,    28.3,    10.8,    29.4
Jurong Island,2022,5,31,     0.0,     0.0,     0.0,     0.0,    30.4,    33.9,    28.4,    10.6,    29.1
