Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2024,5,1,     0.0,     0.0,     0.0,     0.0,    30.3,    33.8,    29.0,     9.5,    42.0
Jurong Island,2024,5,2,     0.0,     0.0,     0.0,     0.0,    29.6,    32.9,    28.0,     7.0,    28.2
Jurong Island,2024,5,3,     3.2,     2.0,     2.0,     2.0,    29.7,    32.9,    26.8,     7.5,    28.9
Jurong Island,2024,5,4,    92.8,    31.8,    44.6,    49.6,    27.0,    29.8,    23.6,     6.2,    44.3
Jurong Island,2024,5,5,     0.0,     0.0,     0.0,     0.0,    29.4,    32.7,    27.4,     7.1,    26.3
Jurong Island,2024,5,6,     0.0,     0.0,     0.0,     0.0,    30.2,    33.3,    28.4,     9.6,    30.2
Jurong Island,2024,5,7,     1.4,     1.4,     1.4,     1.4,    28.9,    31.7,    26.3,     5.7,    29.1
Jurong Island,2024,5,8,    84.2,    28.4,    44.4,    66.8,    27.6,    30.2,    23.9,     6.1,    32.4
Jurong Island,2024,5,9,     0.4,     0.4,     0.4,     0.4,    29.7,    32.6,    27.1,     8.7,    27.4
Jurong Island,2024,5,10,     3.4,     3.0,     3.2,     3.2,    29.3,    31.7,    27.0,     8.6,    35.0
Jurong Island,2024,5,11,     0.0,     0.0,     0.0,     0.0,    30.0,    33.0,    28.3,     8.4,    30.2
Jurong Island,2024,5,12,     0.0,     0.0,     0.0,     0.0,    29.4,    31.9,    28.2,     7.0,    35.2
Jurong Island,2024,5,13,     0.0,     0.0,     0.0,     0.0,    29.0,    32.1,    27.0,     5.4,    22.6
Jurong Island,2024,5,14,    10.0,     6.4,    10.0,    10.0,    28.9,    34.6,    24.2,     6.6,    36.7
Jurong Island,2024,5,15,     1.2,     1.2,     1.2,     1.2,    29.2,    32.5,    27.6,     7.7,    37.8
Jurong Island,2024,5,16,    15.8,     4.2,     4.8,     8.6,    27.7,    30.8,    25.4,     5.8,    37.4
Jurong Island,2024,5,17,     0.0,     0.0,     0.0,     0.0,    29.5,    32.8,    26.0,     6.1,    22.0
Jurong Island,2024,5,18,    10.6,     8.2,     9.4,    10.6,    29.1,    33.1,    25.3,     7.5,    43.2
Jurong Island,2024,5,19,    10.8,     6.6,     6.6,    10.8,    29.1,    32.6,    26.2,     9.2,    46.9
Jurong Island,2024,5,20,     0.4,     0.2,     0.4,     0.4,    28.3,    30.1,    26.5,     8.8,    32.4
Jurong Island,2024,5,21,     0.0,     0.0,     0.0,     0.0,    29.2,    31.1,    27.9,     8.3,    31.3
Jurong Island,2024,5,22,    35.0,    25.2,    32.8,    35.0,    28.5,    30.8,    24.9,     5.8,    23.3
Jurong Island,2024,5,23,    14.2,    12.6,    13.0,    13.8,    29.1,    32.8,    25.6,     6.4,    27.8
Jurong Island,2024,5,24,     0.4,     0.4,     0.4,     0.4,    28.4,    30.8,    26.7,     5.0,    25.6
Jurong Island,2024,5,25,    19.6,    13.8,    14.2,    17.6,    28.0,    31.7,    24.2,     5.3,    32.4
Jurong Island,2024,5,26,    12.0,    11.0,    11.0,    11.0,    29.2,    31.3,    25.6,     7.2,    26.3
Jurong Island,2024,5,27,     0.0,     0.0,     0.0,     0.0,    30.1,    33.7,    28.8,     7.6,    23.3
Jurong Island,2024,5,28,     0.0,     0.0,     0.0,     0.0,    29.9,    32.1,    29.0,     6.4,    31.3
Jurong Island,2024,5,29,     0.0,     0.0,     0.0,     0.0,    30.6,    33.7,    28.8,     8.4,    29.8
Jurong Island,2024,5,30,     0.0,     0.0,     0.0,     0.0,    29.5,    31.6,    28.0,     9.2,    45.7
Jurong Island,2024,5,31,     0.0,     0.0,     0.0,     0.0,    29.8,    32.2,    28.0,     7.4,    26.3
