Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2024,8,1,     0.0,     0.0,     0.0,     0.0,    28.9,    32.2,    26.3,     7.0,    32.0
Jurong Island,2024,8,2,     0.0,     0.0,     0.0,     0.0,    29.3,    32.3,    27.9,    10.6,    33.5
Jurong Island,2024,8,3,     0.0,     0.0,     0.0,     0.0,    29.8,    33.5,    27.9,    10.5,    36.7
Jurong Island,2024,8,4,    27.8,    12.2,    15.8,    16.2,    27.2,    29.9,    23.7,     7.8,    46.9
Jurong Island,2024,8,5,     0.0,     0.0,     0.0,     0.0,    28.6,    31.9,    25.9,     7.4,    33.9
Jurong Island,2024,8,6,     0.0,     0.0,     0.0,     0.0,    29.7,    32.7,    27.6,    10.4,    33.2
Jurong Island,2024,8,7,     0.0,     0.0,     0.0,     0.0,    29.2,    32.0,    26.9,    10.8,    43.5
Jurong Island,2024,8,8,     1.4,     0.8,     1.0,     1.4,    29.6,    32.6,    26.6,    10.7,    35.6
Jurong Island,2024,8,9,    15.4,     6.4,     6.4,     6.4,    27.9,    31.4,    24.6,     9.7,    55.7
Jurong Island,2024,8,10,     4.2,     2.2,     2.4,     2.8,    27.5,    29.7,    24.7,     5.1,    35.0
Jurong Island,2024,8,11,     1.2,     0.6,     0.6,     0.8,    28.6,    30.5,    26.5,     8.0,    27.4
Jurong Island,2024,8,12,     1.2,     1.0,     1.0,     1.2,    28.9,    31.9,    26.6,     9.5,    30.9
Jurong Island,2024,8,13,     0.6,     0.6,     0.6,     0.6,    29.5,    32.3,    27.9,    13.1,    38.9
Jurong Island,2024,8,14,    46.2,    12.2,    17.2,    24.8,    27.2,    30.2,    24.4,     7.5,    35.9
Jurong Island,2024,8,15,     0.0,     0.0,     0.0,     0.0,    28.8,    32.3,    26.9,     9.6,    40.4
Jurong Island,2024,8,16,     3.2,     3.0,     3.0,     3.0,    28.8,    31.2,    25.6,    10.1,    32.0
Jurong Island,2024,8,17,     0.4,     0.4,     0.4,     0.4,    28.8,    32.0,    26.1,    11.2,    37.8
Jurong Island,2024,8,18,     0.0,     0.0,     0.0,     0.0,    29.2,    32.1,    27.8,     9.5,    35.2
Jurong Island,2024,8,19,     0.0,     0.0,     0.0,     0.0,    29.4,    32.3,    27.6,     9.6,    29.4
Jurong Island,2024,8,20,    39.8,    35.6,    39.4,    39.8,    27.9,    31.4,    23.5,     7.4,    39.3
Jurong Island,2024,8,21,     0.0,     0.0,     0.0,     0.0,    28.1,    31.3,    26.0,     7.0,    33.2
Jurong Island,2024,8,22,     0.0,     0.0,     0.0,     0.0,    29.2,    32.6,    27.2,     6.9,    27.4
Jurong Island,2024,8,23,     1.0,     1.0,     1.0,     1.0,    28.7,    32.4,    25.2,     8.6,    27.0
Jurong Island,2024,8,24,     0.6,     0.2,     0.4,     0.4,    27.1,    29.1,    25.3,     6.8,    37.8
Jurong Island,2024,8,25,    10.2,     9.8,    10.0,    10.0,    27.7,    29.7,    24.3,     5.6,    42.0
Jurong Island,2024,8,26,     0.0,     0.0,     0.0,     0.0,    29.0,    31.8,    27.1,     6.0,    23.7
Jurong Island,2024,8,27,     7.8,     7.0,     7.2,     7.8,    28.4,    30.8,    24.0,     6.1,    37.0
Jurong Island,2024,8,28,     0.6,     0.4,     0.4,     0.4,    28.4,    31.9,    24.4,     7.6,    39.3
Jurong Island,2024,8,29,     0.0,     0.0,     0.0,     0.0,    28.8,    31.2,    26.7,     7.4,    34.6
Jurong Island,2024,8,30,     0.0,     0.0,     0.0,     0.0,    29.3,    32.6,    27.8,     9.3,    32.0
Jurong Island,2024,8,31,     0.0,     0.0,     0.0,     0.0,    29.4,    33.1,    27.8,     8.8,    28.5
