Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2024,12,1,     0.0,     0.0,     0.0,     0.0,    29.0,    32.2,    26.1,     6.7,    31.3
Jurong Island,2024,12,2,     0.0,     0.0,     0.0,     0.0,    28.3,    31.6,    26.5,     6.4,    22.6
Jurong Island,2024,12,3,     3.4,     1.0,     1.8,     2.8,    28.3,    32.8,    26.0,     6.1,    35.2
Jurong Island,2024,12,4,     0.2,     0.4,     0.8,     2.4,    28.3,    31.3,    25.9,     5.5,    26.7
Jurong Island,2024,12,5,     0.0,     0.0,     0.0,     0.0,    29.2,    32.3,    26.6,     7.2,    32.8
Jurong Island,2024,12,6,     0.0,     0.0,     0.0,     0.0,    30.1,    33.8,    27.1,     6.1,    31.7
Jurong Island,2024,12,7,     0.0,     0.0,     0.0,     0.0,    30.1,    34.0,    27.2,     7.0,    35.9
Jurong Island,2024,12,8,    32.4,    13.8,    20.0,    22.6,    28.5,    34.2,    23.7,     7.3,    37.0
Jurong Island,2024,12,9,     3.2,     2.8,     2.8,     2.8,    26.6,    30.1,    24.3,    10.7,    36.7
Jurong Island,2024,12,10,     0.0,     0.0,     0.0,     0.0,    27.4,    31.2,    25.3,    11.1,    33.5
Jurong Island,2024,12,11,     0.0,     0.0,     0.0,     0.0,    29.1,    32.7,    26.4,     8.4,    30.9
Jurong Island,2024,12,12,    38.0,    21.2,    31.8,    35.2,    28.1,    29.8,    23.9,     7.3,    33.9
Jurong Island,2024,12,13,    23.0,    13.2,    15.6,    19.2,    27.5,    29.1,    23.5,     6.6,    35.9
Jurong Island,2024,12,14,     0.0,     0.0,     0.0,     0.0,    29.3,    32.3,    26.6,     6.8,    30.2
Jurong Island,2024,12,15,     0.0,     0.0,     0.0,     0.0,    29.7,    33.4,    27.5,     5.4,    29.1
Jurong Island,2024,12,16,     0.0,     0.0,     0.0,     0.0,    28.9,    33.3,    27.2,     5.2,    32.4
Jurong Island,2024,12,17,     2.2,     1.8,     2.0,     2.2,    28.0,    32.3,    26.3,     6.7,    26.3
Jurong Island,2024,12,18,     1.2,     0.8,     0.8,     1.2,    26.7,    28.2,    25.7,     8.6,    32.8
Jurong Island,2024,12,19,     0.0,     0.0,     0.0,     0.0,    27.8,    30.0,    26.0,     9.1,    33.5
Jurong Island,2024,12,20,    11.4,     7.8,    10.8,    11.4,    27.4,    30.7,    25.0,     6.5,    30.9
Jurong Island,2024,12,21,    33.0,    18.4,    22.8,    32.2,    27.5,    33.6,    24.4,     5.2,    45.0
Jurong Island,2024,12,22,    15.6,    13.4,    15.6,    15.6,    28.0,    33.0,    25.1,     5.9,    32.8
Jurong Island,2024,12,23,    56.8,    15.4,    25.2,    36.8,    26.9,    31.6,    24.2,     6.7,    30.2
Jurong Island,2024,12,24,     1.4,     0.4,     0.8,     5.2,    27.2,    32.8,    24.4,     5.7,    28.9
Jurong Island,2024,12,25,     2.6,     1.4,     2.6,     2.6,    27.4,    32.6,    25.3,     5.6,    27.4
Jurong Island,2024,12,26,     0.2,     0.2,     0.2,     0.2,    27.8,    32.3,    25.5,     5.1,    27.4
Jurong Island,2024,12,27,     0.0,     0.0,     0.0,     0.0,    28.6,    33.5,    26.4,     5.3,    28.5
Jurong Island,2024,12,28,    83.4,    38.6,    62.6,    70.6,    27.9,    33.8,    24.4,     6.3,    32.8
Jurong Island,2024,12,29,    13.6,    11.8,    13.2,    13.6,    27.5,    32.6,    25.1,     5.7,    31.7
Jurong Island,2024,12,30,     3.0,     2.4,     2.8,     2.8,    26.9,    30.6,    24.0,     6.7,    30.6
Jurong Island,2024,12,31,     2.2,     1.4,     1.6,     1.8,    27.4,    32.7,    25.7,     5.1,    29.4
