Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2024,1,1,    11.6,     9.4,    11.2,    11.2,    26.6,    29.3,    24.6,     4.5,    40.4
Jurong Island,2024,1,2,    25.4,    24.4,    25.2,    25.2,    27.6,    33.3,    25.0,     4.9,    28.5
Jurong Island,2024,1,3,     0.8,     0.8,     0.8,     0.8,    28.0,    31.5,    26.4,     5.6,    25.6
Jurong Island,2024,1,4,    36.8,     5.0,     7.8,    13.6,    25.8,    27.5,    24.1,     7.8,    29.8
Jurong Island,2024,1,5,     2.8,     1.4,     1.6,     2.0,    27.0,    30.0,    25.0,     6.6,    31.7
Jurong Island,2024,1,6,    22.6,    19.6,    19.8,    20.0,    27.0,    29.5,    24.8,     5.0,    24.1
Jurong Island,2024,1,7,    54.6,    19.4,    29.0,    35.8,    24.7,    26.7,    23.8,     5.2,    29.1
Jurong Island,2024,1,8,    10.2,     6.8,     9.0,    10.0,    26.4,    29.9,    23.5,     4.5,    28.5
Jurong Island,2024,1,9,     0.6,     0.6,     0.6,     0.6,    27.6,    31.9,    25.3,     4.8,    25.2
Jurong Island,2024,1,10,    38.4,    22.4,    22.4,    22.6,    26.6,    30.8,    24.4,     5.6,    35.0
Jurong Island,2024,1,11,     1.0,     1.0,     1.0,     1.0,    27.7,    30.2,    25.7,     5.5,    32.0
Jurong Island,2024,1,12,     1.2,     0.4,     0.6,     0.8,    26.0,    27.5,    24.3,     6.6,    30.9
Jurong Island,2024,1,13,     0.2,     0.2,     0.2,     0.2,    27.5,    30.6,    25.2,     5.4,    21.7
Jurong Island,2024,1,14,     0.0,     0.0,     0.0,     0.0,    28.2,    31.4,    25.8,     6.4,    26.3
Jurong Island,2024,1,15,    22.4,     9.2,    17.2,    20.4,    27.5,    32.8,    24.1,     6.7,    28.9
Jurong Island,2024,1,16,     0.0,     0.0,     0.2,     0.2,    27.4,    30.4,    24.6,     6.3,    31.3
Jurong Island,2024,1,17,     6.0,     2.8,     2.8,     3.0,    27.6,    31.8,    25.7,     7.0,    45.7
Jurong Island,2024,1,18,     6.0,     3.6,     3.6,     3.6,    27.1,    30.3,    24.6,     6.3,    40.7
Jurong Island,2024,1,19,     4.2,     3.0,     3.0,     3.0,    26.9,    30.2,    25.2,     7.4,    34.6
Jurong Island,2024,1,20,     3.0,     0.4,     0.8,     0.8,    25.4,    27.0,    24.1,     7.8,    26.3
Jurong Island,2024,1,21,    19.2,    11.4,    14.0,    19.2,    27.4,    32.2,    24.2,     7.3,    27.8
Jurong Island,2024,1,22,     0.0,     0.0,     0.0,     0.0,    28.3,    32.1,    25.2,     6.2,    26.3
Jurong Island,2024,1,23,     0.0,     0.0,     0.0,     0.0,    28.0,    31.9,    26.3,     4.9,    27.0
Jurong Island,2024,1,24,    77.2,    28.6,    41.4,    42.2,    26.4,    29.8,    23.7,     5.4,    25.9
Jurong Island,2024,1,25,     7.6,     2.6,     4.6,     5.0,    26.5,    29.8,    24.8,     5.6,    43.5
Jurong Island,2024,1,26,     0.0,     0.0,     0.0,     0.0,    28.5,    32.6,    26.0,     8.0,    47.2
Jurong Island,2024,1,27,     0.0,     0.0,     0.0,     0.0,    28.8,    32.8,    26.7,     7.6,    43.9
Jurong Island,2024,1,28,     0.0,     0.0,     0.0,     0.0,    28.5,    32.5,    26.2,     7.8,    40.0
Jurong Island,2024,1,29,     0.0,     0.0,     0.0,     0.0,    28.6,    33.1,    26.3,     7.2,    37.0
Jurong Island,2024,1,30,     0.6,     0.4,     0.4,     0.4,    28.3,    31.7,    25.6,     6.2,    28.9
Jurong Island,2024,1,31,    11.6,     5.8,     6.6,     9.0,    27.7,    32.4,    25.6,     5.5,    27.4
