Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2024,3,1,    15.6,     9.2,    11.2,    15.6,    28.3,    33.4,    25.1,     5.7,    34.3
Jurong Island,2024,3,2,    13.8,     6.0,     8.8,     9.0,    28.4,    33.6,    25.7,     5.3,    38.9
Jurong Island,2024,3,3,    13.4,     9.0,    11.0,    11.6,    27.2,    31.3,    24.9,     5.3,    36.3
Jurong Island,2024,3,4,    65.2,    15.2,    22.6,    38.2,    27.0,    30.8,    24.0,     5.6,    32.4
Jurong Island,2024,3,5,    11.8,     9.8,    10.0,    10.0,    26.9,    31.3,    25.0,     4.2,    19.1
Jurong Island,2024,3,6,     0.2,     0.2,     0.2,     0.2,    28.1,    32.3,    25.7,     5.2,    28.2
Jurong Island,2024,3,7,     0.2,     0.2,     0.2,     0.2,    28.4,    32.2,    27.0,     4.2,    23.3
Jurong Island,2024,3,8,     1.2,     0.8,     1.2,     1.2,    27.9,    30.0,    26.6,     5.4,    28.9
Jurong Island,2024,3,9,     3.6,     2.6,     3.0,     3.0,    28.6,    33.0,    26.8,     5.6,    23.3
Jurong Island,2024,3,10,     7.8,     6.2,     7.0,     7.0,    27.7,    30.7,    25.6,     5.3,    35.0
Jurong Island,2024,3,11,     2.0,     2.0,     2.0,     2.0,    28.7,    34.0,    25.8,     5.5,    27.8
Jurong Island,2024,3,12,     0.2,     0.2,     0.2,     0.2,    29.6,    34.4,    27.2,     5.8,    26.3
Jurong Island,2024,3,13,     0.0,     0.0,     0.0,     0.0,    29.6,    35.0,    26.7,     6.8,    27.0
Jurong Island,2024,3,14,     0.0,     0.0,     0.0,     0.0,    29.3,    34.4,    26.3,     6.5,    30.2
Jurong Island,2024,3,15,     0.0,     0.0,     0.0,     0.0,    29.0,    33.5,    26.2,     5.8,    28.2
Jurong Island,2024,3,16,     0.0,     0.0,     0.0,     0.0,    29.3,    33.9,    26.7,     6.8,    31.3
Jurong Island,2024,3,17,     0.0,     0.0,     0.0,     0.0,    29.8,    35.1,    26.3,     6.9,    35.2
Jurong Island,2024,3,18,     1.0,     0.8,     0.8,     1.0,    29.9,    35.6,    26.8,     7.2,    29.4
Jurong Island,2024,3,19,     0.0,     0.0,     0.0,     0.0,    29.3,    33.5,    27.6,     7.6,    34.6
Jurong Island,2024,3,20,     0.0,     0.0,     0.0,     0.0,    29.5,    33.0,    27.4,     7.8,    38.5
Jurong Island,2024,3,21,     0.0,     0.0,     0.0,     0.0,    29.1,    33.7,    27.6,     7.0,    38.9
Jurong Island,2024,3,22,     0.0,     0.0,     0.0,     0.0,    29.4,    34.2,    27.3,     9.2,    38.9
Jurong Island,2024,3,23,     0.0,     0.0,     0.0,     0.0,    29.8,    34.4,    27.2,    10.4,    33.9
Jurong Island,2024,3,24,     0.0,     0.0,     0.0,     0.0,    29.8,    34.1,    27.4,    10.1,    39.3
Jurong Island,2024,3,25,     0.0,     0.0,     0.0,     0.0,    29.7,    33.3,    27.4,     9.9,    41.5
Jurong Island,2024,3,26,     0.0,     0.0,     0.0,     0.0,    30.5,    35.9,    27.8,     7.2,    35.9
Jurong Island,2024,3,27,     0.0,     0.0,     0.0,     0.0,    29.8,    32.9,    27.0,     7.3,    39.6
Jurong Island,2024,3,28,     0.0,     0.0,     0.0,     0.0,    29.7,    33.0,    28.1,     9.1,    41.5
Jurong Island,2024,3,29,     0.0,     0.0,     0.0,     0.0,    30.1,    33.5,    28.3,    13.5,    36.7
Jurong Island,2024,3,30,     0.0,     0.0,     0.0,     0.0,    30.2,    34.4,    28.3,    11.8,    44.3
Jurong Island,2024,3,31,     4.0,     3.6,     3.8,     4.0,    30.0,    34.2,    26.9,     5.8,    29.8
