Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
East Coast Parkway,2025,3,1,     1.0,     0.8,     1.0,     1.0,    28.1,    31.0,    26.7,    16.2,    42.8
East Coast Parkway,2025,3,2,     0.0,     0.0,     0.0,     0.0,    27.9,    30.9,    26.0,    16.8,    47.2
East Coast Parkway,2025,3,3,     0.0,     0.0,     0.0,     0.0,    27.9,    31.3,    26.0,    13.2,    40.7
East Coast Parkway,2025,3,4,     0.0,     0.0,     0.0,     0.0,    28.4,    32.2,    26.2,    12.5,    48.5
East Coast Parkway,2025,3,5,     0.0,     0.0,     0.0,     0.0,    27.2,    29.3,    26.0,    10.1,    32.0
East Coast Parkway,2025,3,6,     2.6,     2.0,     2.2,     2.2,    26.9,    28.8,    25.5,    13.7,    40.7
East Coast Parkway,2025,3,7,     0.0,     0.0,     0.0,     0.0,    27.9,    29.8,    26.0,    10.9,    32.4
East Coast Parkway,2025,3,8,     2.4,     2.0,     2.2,     2.4,    28.1,    31.7,    25.8,    14.1,    42.8
East Coast Parkway,2025,3,9,    13.4,    10.4,    12.0,    12.2,    26.8,    28.0,    24.9,    11.4,    48.5
East Coast Parkway,2025,3,10,-,-,-,-,    28.1,    30.7,    26.2,    15.4,    44.6
East Coast Parkway,2025,3,11,     1.0,-,-,-,    28.6,    31.7,    26.5,    15.8,    45.0
East Coast Parkway,2025,3,12,     7.2,     6.0,     6.4,     6.8,    27.9,    31.0,    26.0,    11.0,    37.0
East Coast Parkway,2025,3,13,     1.4,     1.0,     1.4,     1.4,    27.7,    30.2,    26.1,    10.9,    32.8
East Coast Parkway,2025,3,14,     0.0,     0.0,     0.0,     0.0,    28.7,    31.3,    26.8,    15.1,    43.9
East Coast Parkway,2025,3,15,     5.2,     3.6,     4.4,     4.8,    28.1,    30.9,    25.1,    12.2,    38.2
East Coast Parkway,2025,3,16,     0.0,     0.0,     0.0,     0.0,    28.3,    30.9,    27.2,    13.0,    43.5
East Coast Parkway,2025,3,17,     0.2,     0.2,     0.2,     0.2,    28.3,    31.1,    26.5,    12.9,    43.5
East Coast Parkway,2025,3,18,     0.0,     0.0,     0.0,     0.0,    28.7,    31.3,    26.9,    16.4,    52.6
East Coast Parkway,2025,3,19,    82.8,    12.8,    21.4,    29.4,    25.7,    27.8,    24.1,    11.5,    34.3
East Coast Parkway,2025,3,20,   184.2,    27.6,    43.8,    58.0,    24.1,    25.3,    23.0,    12.5,    35.2
East Coast Parkway,2025,3,21,     3.6,     2.4,     2.4,     2.4,    26.7,    29.6,    24.3,    14.4,    58.0
East Coast Parkway,2025,3,22,    19.2,    18.2,    19.0,    19.0,    27.7,    30.2,    25.1,    14.9,    43.5
East Coast Parkway,2025,3,23,    44.2,    20.0,    36.8,    44.8,    26.5,    30.6,    22.9,    13.3,    38.5
East Coast Parkway,2025,3,24,    58.6,    27.4,    39.4,    47.6,    26.9,    30.7,    23.6,    13.3,    47.6
East Coast Parkway,2025,3,25,    23.6,    19.2,    23.4,    23.6,    27.7,    30.8,    25.9,    11.4,    39.3
East Coast Parkway,2025,3,26,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    26.1,    12.5,    37.0
East Coast Parkway,2025,3,27,    18.4,    17.4,    18.2,    18.4,    28.0,    30.5,    25.4,    10.6,    37.8
East Coast Parkway,2025,3,28,     0.0,     0.0,     0.0,     0.0,    28.4,    31.4,    26.6,    11.3,    47.2
East Coast Parkway,2025,3,29,     5.2,     4.4,     4.4,     4.4,    27.7,    30.0,    25.0,     9.6,    35.2
East Coast Parkway,2025,3,30,     0.6,     0.6,     0.6,     0.6,    27.7,    30.6,    26.0,    11.0,    34.6
East Coast Parkway,2025,3,31,     0.0,     0.0,     0.0,     0.0,    27.1,    30.5,    25.5,    11.7,    51.1
