Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2025,2,1,     0.0,     0.0,     0.0,     0.0,    27.0,    31.6,    24.5,     6.8,    24.1
Pulau Ubin,2025,2,2,     0.0,     0.0,     0.0,     0.0,    27.2,    32.8,    24.1,     6.0,    22.6
Pulau Ubin,2025,2,3,     0.0,     0.0,     0.0,     0.0,    27.7,    32.3,    24.9,     7.5,    24.4
Pulau Ubin,2025,2,4,     0.0,     0.0,     0.0,     0.0,    26.9,    32.2,    24.2,     7.4,    24.4
Pulau Ubin,2025,2,5,    30.2,     3.2,     5.2,    10.2,    24.8,    26.9,    23.1,     7.6,    22.6
Pulau Ubin,2025,2,6,     0.0,     0.0,     0.0,     0.0,    26.3,    30.5,    23.1,     7.4,    28.9
Pulau Ubin,2025,2,7,     0.0,     0.0,     0.0,     0.0,    26.6,    31.4,    23.1,     7.0,    27.0
Pulau Ubin,2025,2,8,     0.0,     0.0,     0.0,     0.0,    26.9,    31.4,    24.0,     8.1,    31.7
Pulau Ubin,2025,2,9,     2.6,     2.0,     2.2,     2.4,    26.4,    30.6,    24.2,     8.6,    29.8
Pulau Ubin,2025,2,10,     0.2,     0.2,     0.2,     0.2,    26.9,    30.9,    23.7,     9.0,    29.4
Pulau Ubin,2025,2,11,     0.0,     0.0,     0.0,     0.0,    27.2,    31.1,    24.9,     8.2,    27.4
Pulau Ubin,2025,2,12,     0.0,     0.0,     0.0,     0.0,    27.1,    31.9,    23.4,     5.9,    21.7
Pulau Ubin,2025,2,13,     0.0,     0.0,     0.0,     0.0,    27.1,    32.2,    24.4,     5.7,    19.8
Pulau Ubin,2025,2,14,     0.0,     0.0,     0.0,     0.0,    27.6,    32.1,    24.6,     6.5,    23.7
Pulau Ubin,2025,2,15,     0.0,     0.0,     0.0,     0.0,    27.1,    31.4,    24.4,     5.0,    24.4
Pulau Ubin,2025,2,16,     0.0,     0.0,     0.0,     0.0,    27.3,    32.2,    24.5,     5.2,    22.6
Pulau Ubin,2025,2,17,    30.2,    16.6,    28.2,    29.0,    26.2,    32.8,    24.1,     3.0,    26.3
Pulau Ubin,2025,2,18,     1.0,     1.0,     1.0,     1.0,    26.3,    29.0,    24.4,     5.9,    26.3
Pulau Ubin,2025,2,19,     0.0,     0.0,     0.0,     0.0,    26.9,    30.6,    24.4,     5.9,    23.0
Pulau Ubin,2025,2,20,     0.0,     0.0,     0.0,     0.0,    27.6,    31.6,    24.9,     6.8,    25.6
Pulau Ubin,2025,2,21,     0.0,     0.0,     0.0,     0.0,    27.4,    31.5,    24.3,     6.3,    24.1
Pulau Ubin,2025,2,22,     0.0,     0.0,     0.0,     0.0,    27.6,    31.9,    25.0,     6.9,    26.7
Pulau Ubin,2025,2,23,    10.6,     9.0,     9.8,    10.0,    26.3,    30.2,    24.4,     3.7,    19.4
Pulau Ubin,2025,2,24,     0.0,     0.0,     0.0,     0.0,    27.2,    31.7,    24.1,     5.5,    25.6
Pulau Ubin,2025,2,25,     0.2,     0.2,     0.2,     0.2,    27.1,    31.1,    24.5,     6.7,    27.8
Pulau Ubin,2025,2,26,     0.8,     0.4,     0.4,     0.4,    27.2,    30.6,    25.2,     8.3,    31.3
Pulau Ubin,2025,2,27,     0.2,     0.2,     0.2,     0.2,    27.7,    31.2,    25.8,     8.1,    30.6
Pulau Ubin,2025,2,28,     0.0,     0.0,     0.0,     0.0,    27.8,    31.5,    25.1,     6.6,    27.0
