Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2023,1,1,     0.0,     0.0,     0.0,     0.0,    27.6,    30.8,    25.6,     8.1,    30.9
Jurong Island,2023,1,2,     0.0,     0.0,     0.0,     0.0,    27.8,    32.3,    25.4,     9.3,    38.9
Jurong Island,2023,1,3,    38.6,    16.2,    18.4,    32.6,    26.6,    32.0,    23.2,     9.0,    43.2
Jurong Island,2023,1,4,     0.0,     0.0,     0.0,     0.0,    27.2,    30.2,    25.0,     9.8,    39.3
Jurong Island,2023,1,5,     2.6,     2.6,     2.6,     2.6,    27.1,    30.8,    24.2,     7.8,    34.3
Jurong Island,2023,1,6,     0.0,     0.0,     0.0,     0.0,    28.3,    31.8,    26.1,     9.9,    30.2
Jurong Island,2023,1,7,     0.0,     0.0,     0.0,     0.0,    27.8,    31.4,    25.6,     8.8,    28.2
Jurong Island,2023,1,8,     0.0,     0.0,     0.0,     0.0,    28.6,    31.9,    25.5,     8.5,    28.5
Jurong Island,2023,1,9,     0.0,     0.0,     0.0,     0.0,    28.2,    31.7,    26.0,     6.8,    27.8
Jurong Island,2023,1,10,     0.0,     0.0,     0.0,     0.0,    27.9,    30.8,    26.3,     6.1,    27.4
Jurong Island,2023,1,11,     0.0,     0.0,     0.0,     0.0,    26.9,    29.5,    25.7,     5.9,    34.3
Jurong Island,2023,1,12,     0.0,     0.0,     0.0,     0.0,    27.9,    31.7,    25.1,     7.1,    26.7
Jurong Island,2023,1,13,     0.0,     0.0,     0.0,     0.0,    27.9,    31.6,    26.3,     6.2,    28.2
Jurong Island,2023,1,14,     0.0,     0.0,     0.0,     0.0,    28.0,    31.7,    25.5,     5.5,    26.3
Jurong Island,2023,1,15,     0.0,     0.0,     0.0,     0.0,    28.3,    31.6,    25.6,     7.4,    33.5
Jurong Island,2023,1,16,    12.2,    11.8,    12.0,    12.0,    27.8,    32.2,    23.9,     7.8,    38.5
Jurong Island,2023,1,17,    20.8,    13.0,    20.4,    20.8,    28.0,    33.0,    24.0,     8.4,    34.6
Jurong Island,2023,1,18,     0.0,     0.0,     0.0,     0.0,    27.6,    32.0,    25.5,     7.7,    37.8
Jurong Island,2023,1,19,    15.6,     6.6,     7.2,    12.2,    26.1,    30.2,    24.2,     8.3,    33.9
Jurong Island,2023,1,20,     9.6,     6.2,     6.4,     6.4,    26.1,    28.4,    24.3,     7.9,    30.9
Jurong Island,2023,1,21,    25.0,    15.6,    17.0,    22.8,    26.7,    29.8,    25.1,     5.9,    28.9
Jurong Island,2023,1,22,    32.2,    14.2,    19.0,    20.0,    25.7,    29.6,    23.9,     6.5,    25.9
Jurong Island,2023,1,23,     7.2,     4.4,     4.4,     4.8,    25.5,    27.7,    24.2,     5.6,    20.2
Jurong Island,2023,1,24,    13.4,     1.4,     2.2,     3.8,    24.2,    25.8,    23.1,     9.1,    28.5
Jurong Island,2023,1,25,    27.6,     8.6,    10.2,    11.2,    23.9,    25.0,    23.2,     7.9,    29.1
Jurong Island,2023,1,26,     6.8,     4.2,     5.0,     5.8,    25.3,    28.1,    23.1,     9.0,    34.3
Jurong Island,2023,1,27,     0.6,     0.4,     0.4,     0.4,    27.4,    31.3,    24.6,-,    33.5
Jurong Island,2023,1,28,     5.6,     1.8,     1.8,     2.4,    24.7,    25.8,    23.9,    11.5,    38.2
Jurong Island,2023,1,29,     5.0,     1.4,     2.4,     4.2,    24.7,    26.5,    23.4,     8.1,    43.9
Jurong Island,2023,1,30,     4.2,     1.4,     1.4,     2.6,    25.8,    29.0,    24.3,     8.6,    34.6
Jurong Island,2023,1,31,     2.0,     0.8,     1.2,     1.8,    25.3,    27.1,    24.6,     8.2,    24.8
