Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2023,10,1,     0.0,     0.0,     0.0,     0.0,    28.9,    32.8,    26.5,     6.8,    32.4
Jurong Island,2023,10,2,     0.0,     0.0,     0.0,     0.0,    29.4,    32.2,    27.4,     8.7,    30.2
Jurong Island,2023,10,3,     8.8,     7.0,     8.8,     8.8,    27.6,    30.0,    23.9,     9.3,    39.6
Jurong Island,2023,10,4,     0.0,     0.0,     0.0,     0.0,    29.2,    32.5,    27.1,     8.8,    24.1
Jurong Island,2023,10,5,     0.0,     0.0,     0.0,     0.0,    29.5,    33.6,    27.6,    10.5,    30.6
Jurong Island,2023,10,6,     0.0,     0.0,     0.0,     0.0,    29.7,    33.5,    27.5,     9.5,    33.9
Jurong Island,2023,10,7,     0.0,     0.0,     0.0,     0.0,    29.8,    33.4,    28.0,     9.5,    28.2
Jurong Island,2023,10,8,     0.0,     0.0,     0.0,     0.0,    29.6,    33.0,    27.5,     9.9,    38.5
Jurong Island,2023,10,9,     3.6,     3.6,     3.6,     3.6,    29.2,    33.7,    26.6,     7.2,    28.2
Jurong Island,2023,10,10,     0.0,     0.0,     0.0,     0.0,    29.5,    32.6,    27.8,     7.1,    28.2
Jurong Island,2023,10,11,     0.0,     0.0,     0.0,     0.0,    29.1,    31.6,    26.8,     5.1,    31.7
Jurong Island,2023,10,12,     0.0,     0.0,     0.0,     0.0,    29.9,    33.6,    27.5,     8.3,    30.6
Jurong Island,2023,10,13,     0.0,     0.0,     0.0,     0.0,    29.9,    33.2,    27.8,     8.3,    24.4
Jurong Island,2023,10,14,     0.0,     0.0,     0.0,     0.0,    29.8,    33.2,    27.6,     7.8,    25.9
Jurong Island,2023,10,15,     0.0,     0.0,     0.0,     0.0,    29.9,    33.1,    27.6,     8.8,    30.2
Jurong Island,2023,10,16,     7.6,     7.4,     7.6,     7.6,    29.7,    32.5,    25.1,     6.8,    29.1
Jurong Island,2023,10,17,     0.0,     0.0,     0.0,     0.0,    30.0,    33.4,    28.1,     8.8,    29.1
Jurong Island,2023,10,18,     3.8,     2.0,     2.6,     2.6,    27.9,    31.7,    25.0,     7.0,    44.6
Jurong Island,2023,10,19,     1.4,     1.4,     1.4,     1.4,    28.3,    31.2,    26.2,     4.8,    24.1
Jurong Island,2023,10,20,     0.6,     0.4,     0.6,     0.6,    28.3,    30.9,    26.1,     6.2,    26.7
Jurong Island,2023,10,21,     7.8,     7.8,     7.8,     7.8,    28.5,    32.0,    24.6,     4.6,    26.3
Jurong Island,2023,10,22,    13.4,    11.0,    12.2,    13.4,    28.1,    32.2,    24.4,     4.8,    37.0
Jurong Island,2023,10,23,    24.0,    20.2,    21.8,    23.0,    27.6,    32.0,    23.2,     4.5,    37.8
Jurong Island,2023,10,24,     5.2,     3.0,     3.0,     3.0,    28.0,    33.5,    25.7,     5.3,    28.2
Jurong Island,2023,10,25,     0.0,     0.0,     0.0,     0.0,    28.0,    31.5,    25.4,     5.2,    28.5
Jurong Island,2023,10,26,     0.0,     0.0,     0.0,     0.0,    29.2,    32.4,    26.5,     6.5,    27.0
Jurong Island,2023,10,27,     0.0,     0.0,     0.0,     0.0,    29.9,    33.3,    27.6,     7.6,    28.9
Jurong Island,2023,10,28,     1.0,     0.6,     0.6,     0.6,    28.2,    30.8,    26.1,     6.6,    32.4
Jurong Island,2023,10,29,     4.4,     1.2,     1.8,     3.2,    28.6,    33.3,    25.3,     5.2,    30.6
Jurong Island,2023,10,30,     0.2,     0.2,     0.2,     1.2,    28.9,    33.4,    25.9,     5.2,    25.9
Jurong Island,2023,10,31,     1.0,     0.6,     0.6,     0.6,    28.6,    32.5,    25.8,     4.6,    30.9
