Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong Island,2023,8,1,     0.0,     0.0,     0.0,     0.0,    29.2,    32.3,    27.5,     9.5,    29.1
Jurong Island,2023,8,2,     0.0,     0.0,     0.0,     0.0,    29.6,    32.5,    28.1,    10.0,    31.3
Jurong Island,2023,8,3,    19.0,    11.2,    14.8,    15.8,    26.3,    28.9,    22.0,     8.0,    54.1
Jurong Island,2023,8,4,     0.5,     0.5,     0.5,     0.5,    28.9,    32.3,    26.6,     9.8,    30.9
Jurong Island,2023,8,5,     0.0,     0.0,     0.0,     0.0,    29.6,    32.2,    27.9,    12.1,    31.7
Jurong Island,2023,8,6,     0.0,     0.0,     0.0,     0.0,    29.4,    32.5,    26.9,     8.5,    26.7
Jurong Island,2023,8,7,     0.0,     0.0,     0.0,     0.0,    29.5,    32.1,    27.5,     9.9,    34.3
Jurong Island,2023,8,8,     0.6,     0.6,     0.6,     0.6,    28.9,    32.3,    27.6,    10.7,    33.9
Jurong Island,2023,8,9,     0.0,     0.0,     0.0,     0.0,    29.1,    32.5,    25.5,    11.4,    41.5
Jurong Island,2023,8,10,     0.0,     0.0,     0.0,     0.0,    29.2,    32.1,    27.9,    10.0,    31.7
Jurong Island,2023,8,11,    12.6,     9.8,    11.8,    12.6,    28.8,    32.2,    24.5,     8.5,    33.2
Jurong Island,2023,8,12,     0.0,     0.0,     0.0,     0.0,    29.4,    32.8,    27.8,    11.8,    30.2
Jurong Island,2023,8,13,     0.0,     0.0,     0.0,     0.0,    29.2,    31.8,    27.9,    12.8,    31.7
Jurong Island,2023,8,14,    10.8,     9.0,     9.8,     9.8,    27.3,    30.7,    24.5,     9.9,    38.2
Jurong Island,2023,8,15,     0.0,     0.0,     0.0,     0.0,    28.4,    32.1,    26.1,     7.7,    26.3
Jurong Island,2023,8,16,     0.0,     0.0,     0.0,     0.0,    28.8,    31.7,    27.7,    10.6,    33.5
Jurong Island,2023,8,17,     9.6,     8.8,     8.8,     9.0,    28.5,    32.2,    25.5,     8.4,    30.2
Jurong Island,2023,8,18,     5.0,     2.8,     3.2,     3.2,    26.8,    28.4,    24.8,     6.0,    41.5
Jurong Island,2023,8,19,     0.2,     0.2,     0.2,     0.2,    27.5,    29.7,    26.7,     6.9,    25.6
Jurong Island,2023,8,20,     0.0,     0.0,     0.0,     0.0,    28.8,    31.3,    27.2,     9.4,    37.8
Jurong Island,2023,8,21,    27.8,    13.0,    14.0,    18.6,    26.7,    28.6,    22.9,     6.5,    31.3
Jurong Island,2023,8,22,     0.0,     0.0,     0.0,     0.0,    29.3,    31.9,    27.4,    12.0,    41.1
Jurong Island,2023,8,23,     0.0,     0.0,     0.0,     0.0,    29.2,    32.1,    27.2,    10.9,    32.0
Jurong Island,2023,8,24,     0.0,     0.0,     0.0,     0.0,    29.0,    31.9,    27.5,    11.3,    35.9
Jurong Island,2023,8,25,     0.0,     0.0,     0.0,     0.0,    28.5,    31.3,    27.3,     9.7,    29.8
Jurong Island,2023,8,26,     0.0,     0.0,     0.0,     0.0,    28.3,    31.3,    27.1,     7.2,    43.5
Jurong Island,2023,8,27,     0.0,     0.0,     0.0,     0.0,    28.7,    31.8,    26.2,     7.6,    29.4
Jurong Island,2023,8,28,     0.0,     0.0,     0.0,     0.0,    28.5,    30.9,    26.8,     8.4,    36.3
Jurong Island,2023,8,29,     0.0,     0.0,     0.0,     0.0,-,-,-,     9.1,-
Jurong Island,2023,8,30,     0.0,     0.0,     0.0,     0.0,-,-,-,     7.4,-
Jurong Island,2023,8,31,     0.0,     0.0,     0.0,     0.0,-,-,-,    10.8,-
